city,label_id,pano_id,pano_source,time_created,hf_split,hf_filename,pano_x,pano_y,pano_width,pano_height,heading,pitch,zoom,camera_heading,camera_pitch,camera_roll,canvas_x,canvas_y
chicago-il,28878,xQPDSAzwdk7OBHJpc5oUdw,gsv,2023-08-03T16:38:17.392Z,train,gsv-chicago-28878-CurbRamp.png,4373,5026,16384.0,8192.0,121.5,-24.3125,1.0,180.991699,0.76267,,208,227
seattle-wa,178655,MTN1dfONRo_jv7TKQn1AOg,gsv,2021-08-05T17:06:05.691Z,train,gsv-seattle-178655-CurbRamp.png,1982,4900,16384.0,8192.0,157.573654,-19.0,3.0,292.288788,-0.015533,,318,206
seattle-wa,234282,ao3BFTP6H8-4LzbHtbM7mQ,gsv,2023-02-22T01:09:13.181Z,train,gsv-seattle-234282-CurbRamp.png,9218,4659,16384.0,8192.0,66.772324,-22.20759,2.0,53.980652,1.71584,,483,117
seattle-wa,191021,pVgjivpLlM4EfS0GgToHHw,gsv,2021-12-10T19:38:19.203Z,train,gsv-seattle-191021-CurbRamp.png,7149,4707,16384.0,8192.0,65.977142,-16.887857,2.0,94.417755,1.179199,,428,197
oradell-nj,3133,xqXR6kvdlOyHu9k5bcF-SQ,gsv,2022-04-23T00:10:00.572Z,train,gsv-oradell-3133-CurbRamp.png,3920,4584,16384.0,8192.0,145.28125,-14.390625,3.0,243.367584,-0.923958,,466,147
columbus-oh,1569,0B2gLFTklLnDxK6XlCZZCw,gsv,2019-12-05T00:50:36.088Z,train,gsv-columbus-1569-CurbRamp.png,3912,3678,13312.0,6656.0,246.0,-16.25,1.0,320.362274,-0.37735,,361,197
columbus-oh,20665,f9h1AuCpaLBjs0jNGC905A,gsv,2020-12-15T16:09:43.824Z,train,gsv-columbus-20665-CurbRamp.png,979,4665,16384.0,8192.0,269.9375,-27.875,1.0,48.05521,-0.932724,,225,146
oradell-nj,7413,R88NrKLZ93cgZO2H6ed6Pw,gsv,2022-07-14T16:08:54.557Z,train,gsv-oradell-7413-CurbRamp.png,14472,4627,16384.0,8192.0,83.3125,-13.9375,2.0,291.038422,0.502495,,180,216
chicago-il,15341,j_NEe5cIT4fH8qiKQ65Yig,gsv,2022-10-23T04:01:29.768Z,train,gsv-chicago-15341-CurbRamp.png,8768,4402,16384.0,8192.0,282.242767,-8.02625,3.0,267.34314,0.124435,,303,207
seattle-wa,179929,2byW1ooIaN40VeEvsHIUlQ,gsv,2021-08-09T04:55:12.827Z,test,gsv-seattle-179929-CurbRamp.png,14751,5072,16384.0,8192.0,76.0625,-9.625,1.0,267.685822,-1.301979,,206,328
pittsburgh-pa,12985,DPqda2IH_68Y_VPVD1vBdw,gsv,2021-04-29T01:58:12.36Z,train,gsv-pittsburgh-12985-CurbRamp.png,7808,4320,13312.0,6656.0,141.8125,-20.375,1.0,108.53302,-1.295158,,348,281
oradell-nj,6613,dsGLMiclGVu2lKSuUmRjUA,gsv,2022-06-13T20:47:49.072Z,train,gsv-oradell-6613-CurbRamp.png,10789,4769,16384.0,8192.0,328.671875,-31.8125,1.0,287.270996,-1.658569,,462,133
chicago-il,10090,r1vxp40tAgah_g5hC-j1EQ,gsv,2022-03-07T21:32:13.174Z,train,gsv-chicago-10090-CurbRamp.png,8634,4352,16384.0,8192.0,101.464287,-7.078125,3.0,89.068443,0.393349,,292,203
cdmx,6185,wcOaWHcHyAt72iSbuRNxGg,gsv,2020-07-18T20:18:08.091Z,train,gsv-cdmx-6185-CurbRamp.png,13760,5623,16384.0,8192.0,81.3125,-30.875,1.0,309.904602,0.481766,,312,259
oradell-nj,8235,XZ2kV-_9Zxim9iCsSbR_sg,gsv,2022-07-17T18:32:42.762Z,train,gsv-oradell-8235-CurbRamp.png,9892,4719,16384.0,8192.0,140.044647,-10.526786,3.0,108.991386,-0.874031,,517,323
chicago-il,12175,swYVtw8erHE8OMKCAl0pIw,gsv,2022-10-20T16:17:23.681Z,train,gsv-chicago-12175-CurbRamp.png,1966,4843,16384.0,8192.0,159.424103,-14.96875,3.0,292.069,-1.061783,,258,278
chicago-il,18173,MCfMEQj91-SPk93LF3czqg,gsv,2022-11-01T04:31:21.538Z,train,gsv-chicago-18173-CurbRamp.png,6007,4588,16384.0,8192.0,138.6875,-32.75,1.0,179.243881,-0.22813,,310,95
columbus-oh,14120,BrmaM7ulPe7qX2pho9pSQw,gsv,2020-05-26T22:54:03.499Z,train,gsv-columbus-14120-CurbRamp.png,15324,4942,16384.0,8192.0,354.9375,-35.0,1.0,184.465302,-0.037262,,273,137
