split,filename,city,label_id,label_uid,pano_id,lat,lng,normalized_x,normalized_y,missing-tactile-warning,narrow,not-enough-landing-space,not-level-with-street,parallel-lines,points-into-traffic,pooled-water,steep,surface-problem,tactile-warning
test,pittsburgh-pa__9291__fov50.jpg,pittsburgh-pa,9291,pittsburgh-pa:9291,P8PA9bXlPnei1v7MNChLGQ,40.429934,-79.977569,0.211111,0.31875,1,0,0,0,0,1,0,0,0,0
test,pittsburgh-pa__10833__fov50.jpg,pittsburgh-pa,10833,pittsburgh-pa:10833,fHEg62KQBAHbpNK1uEIsNg,40.422423,-80.012447,0.3875,0.68125,1,0,0,0,0,1,0,0,0,0
test,pittsburgh-pa__15469__fov50.jpg,pittsburgh-pa,15469,pittsburgh-pa:15469,PMdtMPANZH9M4nbLWIfIkA,40.451067,-80.016303,0.180556,0.583333,0,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__14532__fov50.jpg,pittsburgh-pa,14532,pittsburgh-pa:14532,zb8poYJHvbJZ3cz8-AHcOg,40.459853,-79.975061,0.338889,0.341667,1,0,0,1,0,0,0,0,1,0
test,pittsburgh-pa__11619__fov50.jpg,pittsburgh-pa,11619,pittsburgh-pa:11619,Kt9_aJYTCtMPO--E-UwpHQ,40.441128,-79.961369,0.459722,0.308333,0,0,1,0,0,0,0,0,0,0
test,pittsburgh-pa__6684__fov50.jpg,pittsburgh-pa,6684,pittsburgh-pa:6684,jIxBX30SWOeWh2vSzY2Qaw,40.461965,-79.89972,0.286111,0.504167,1,0,1,0,0,0,0,0,1,0
test,pittsburgh-pa__4076__fov50.jpg,pittsburgh-pa,4076,pittsburgh-pa:4076,EHrsbFMdudQ9R7C42oGSVA,40.442849,-79.965829,0.744444,0.697917,1,0,1,0,0,1,0,0,0,0
test,pittsburgh-pa__6073__fov50.jpg,pittsburgh-pa,6073,pittsburgh-pa:6073,W8PsYCxlq4czfZU3DxR_xA,40.459404,-79.900856,0.715278,0.579167,0,0,0,0,0,1,1,0,0,0
test,pittsburgh-pa__16216__fov50.jpg,pittsburgh-pa,16216,pittsburgh-pa:16216,4TGGGwjI4WsB4j84W8wv8w,40.445472,-79.912794,0.372222,0.38125,0,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__11848__fov50.jpg,pittsburgh-pa,11848,pittsburgh-pa:11848,lwaDaoMyPG5WH13VsDyOQQ,40.432232,-80.010333,0.231944,0.495833,1,0,0,0,0,1,0,0,0,0
test,pittsburgh-pa__11614__fov50.jpg,pittsburgh-pa,11614,pittsburgh-pa:11614,N-cim7QB57Qt8Ohb0NnFHQ,40.441366,-79.959173,0.623611,0.304167,0,1,0,0,0,0,0,0,0,0
test,pittsburgh-pa__16389__fov50.jpg,pittsburgh-pa,16389,pittsburgh-pa:16389,Xwd7-oKBDCaMWHq0Ate5Iw,40.458267,-79.972219,0.666667,0.6375,0,0,0,1,0,0,0,0,0,0
test,pittsburgh-pa__12779__fov50.jpg,pittsburgh-pa,12779,pittsburgh-pa:12779,_OdbzsfGYr5OazXXaqNHSA,40.428694,-80.008194,0.35,0.44375,1,0,0,1,0,1,0,0,0,0
test,pittsburgh-pa__15285__fov50.jpg,pittsburgh-pa,15285,pittsburgh-pa:15285,Io9btWNn_Clbt1Hv76wnMw,40.436519,-79.979533,0.869444,0.475,1,0,0,1,0,1,0,0,0,0
test,pittsburgh-pa__11038__fov50.jpg,pittsburgh-pa,11038,pittsburgh-pa:11038,YMnn390W-O64Sg6CoKsMHg,40.433518,-79.95346,0.454167,0.5875,1,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__15444__fov50.jpg,pittsburgh-pa,15444,pittsburgh-pa:15444,NK-JJYgNdkrespLgCee72Q,40.451475,-80.016426,0.379167,0.454167,0,0,0,0,0,1,0,0,0,0
test,pittsburgh-pa__15082__fov50.jpg,pittsburgh-pa,15082,pittsburgh-pa:15082,nxLdl08ZuNAdps_MFcTDLA,40.448435,-79.921414,0.406944,0.254167,1,0,0,0,0,0,0,0,1,0
test,pittsburgh-pa__9263__fov50.jpg,pittsburgh-pa,9263,pittsburgh-pa:9263,QkxTcm5qgfQjq_4wDhLOvg,40.441966,-79.962722,0.666667,0.54375,0,0,1,0,0,1,0,0,0,0
test,pittsburgh-pa__16460__fov50.jpg,pittsburgh-pa,16460,pittsburgh-pa:16460,iexp44g8aogv85pdfacNRA,40.459879,-79.915622,0.547222,0.372917,0,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__10750__fov50.jpg,pittsburgh-pa,10750,pittsburgh-pa:10750,cSzu9WUKATMqH-fYqjtmNQ,40.445744,-79.97742,0.530556,0.339583,1,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__6310__fov50.jpg,pittsburgh-pa,6310,pittsburgh-pa:6310,fj8G20m0kdw2ZALQdxTXTg,40.458158,-79.904237,0.741667,0.45625,0,1,0,0,0,0,0,0,1,0
test,pittsburgh-pa__16052__fov50.jpg,pittsburgh-pa,16052,pittsburgh-pa:16052,eWU6mdzK5laglWKij7FJ4w,40.444884,-79.993709,0.545833,0.2875,1,0,0,0,0,1,0,0,0,0
test,pittsburgh-pa__15501__fov50.jpg,pittsburgh-pa,15501,pittsburgh-pa:15501,lV7akWojzHwu3e0W8HAz_w,40.45379,-80.015428,0.5,0.472917,1,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__15142__fov50.jpg,pittsburgh-pa,15142,pittsburgh-pa:15142,hLyyRXGBAbPSx2cxFMXX2g,40.428914,-79.982657,0.269444,0.575,0,0,0,0,0,1,0,0,0,0
test,pittsburgh-pa__1992__fov50.jpg,pittsburgh-pa,1992,pittsburgh-pa:1992,01ljh4K0oXQosM2i_scj4g,40.429129,-79.979192,0.6625,0.59375,1,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__3691__fov50.jpg,pittsburgh-pa,3691,pittsburgh-pa:3691,URmLCKa_YqvhXaLkDfxXTA,40.457322,-79.929871,0.506944,0.602083,1,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__10961__fov50.jpg,pittsburgh-pa,10961,pittsburgh-pa:10961,ZV4pNFBn4U2amF5yzGPlfA,40.450396,-79.966443,0.506944,0.5,0,0,1,0,0,1,0,0,0,0
test,pittsburgh-pa__9075__fov50.jpg,pittsburgh-pa,9075,pittsburgh-pa:9075,fHTvpZOS7ZJpp0NTTG2UdQ,40.429478,-79.989906,0.7125,0.527083,1,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__10520__fov50.jpg,pittsburgh-pa,10520,pittsburgh-pa:10520,xDkkX1-_jjpaYkkr4pA7vA,40.426242,-80.013193,0.706944,0.410417,1,0,0,0,0,1,0,0,0,0
test,pittsburgh-pa__14274__fov50.jpg,pittsburgh-pa,14274,pittsburgh-pa:14274,lk637cR9YnFdyt9bDjrhHA,40.441873,-79.959254,0.55,0.504167,0,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__167__fov50.jpg,pittsburgh-pa,167,pittsburgh-pa:167,oQTso5D_D2w65XSCJIdEDg,40.447598,-79.959358,0.336111,0.435417,0,1,0,1,0,0,0,0,0,0
test,pittsburgh-pa__2404__fov50.jpg,pittsburgh-pa,2404,pittsburgh-pa:2404,zYSc5F1pnB1WS0_BC8nP4Q,40.451223,-79.92592,0.502778,0.554167,0,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__8475__fov50.jpg,pittsburgh-pa,8475,pittsburgh-pa:8475,WSJQ4mndJ43K5zkxtfptmQ,40.455574,-79.905314,0.748611,0.352083,1,1,1,0,0,0,0,0,0,0
test,pittsburgh-pa__13291__fov50.jpg,pittsburgh-pa,13291,pittsburgh-pa:13291,KdfNJkdlFZnkrmJFf8u7jw,40.426504,-79.968726,0.572222,0.21875,1,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__15036__fov50.jpg,pittsburgh-pa,15036,pittsburgh-pa:15036,vA07hp5GQz82iLYysIepJQ,40.456435,-79.998714,0.484722,0.464583,0,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__9015__fov50.jpg,pittsburgh-pa,9015,pittsburgh-pa:9015,YPRBkpXX2b30ZJMYijefug,40.46228,-79.941651,0.201389,0.454167,1,0,0,0,0,1,0,0,0,0
test,pittsburgh-pa__3363__fov50.jpg,pittsburgh-pa,3363,pittsburgh-pa:3363,WC_sNpTMeShXjX4DsWxE9A,40.457223,-79.929275,0.615278,0.335417,0,0,0,0,0,1,0,0,0,0
test,pittsburgh-pa__3370__fov50.jpg,pittsburgh-pa,3370,pittsburgh-pa:3370,cPnhyW_vIRa2JK0JfYIWZQ,40.457458,-79.92953,0.581944,0.552083,0,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__7093__fov50.jpg,pittsburgh-pa,7093,pittsburgh-pa:7093,UAMBcVGWT32SLivPUlgXAQ,40.438729,-79.999455,0.734722,0.147917,0,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__15126__fov50.jpg,pittsburgh-pa,15126,pittsburgh-pa:15126,LwwyT0zHHC_6i8DTbOsf9Q,40.428734,-79.982018,0.655556,0.602083,1,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__15278__fov50.jpg,pittsburgh-pa,15278,pittsburgh-pa:15278,jJFnRdrdOoKDxDyUrnmODQ,40.436116,-79.979678,0.494444,0.34375,0,0,0,0,0,0,0,0,0,0
test,pittsburgh-pa__16378__fov50.jpg,pittsburgh-pa,16378,pittsburgh-pa:16378,3VJW21LZB_5Qwh08vJFvjA,40.458747,-79.972778,0.493056,0.475,0,0,0,0,0,0,0,0,0,0
