label_uid,split
pittsburgh-pa:9291,test
pittsburgh-pa:10833,test
pittsburgh-pa:15469,test
pittsburgh-pa:14532,test
pittsburgh-pa:11619,test
pittsburgh-pa:6684,test
pittsburgh-pa:4076,test
pittsburgh-pa:6073,test
pittsburgh-pa:16216,test
pittsburgh-pa:11848,test
pittsburgh-pa:11614,test
pittsburgh-pa:16389,test
pittsburgh-pa:12779,test
pittsburgh-pa:15285,test
pittsburgh-pa:11038,test
pittsburgh-pa:15444,test
pittsburgh-pa:15082,test
pittsburgh-pa:9263,test
pittsburgh-pa:16460,test
pittsburgh-pa:10750,test
pittsburgh-pa:6310,test
pittsburgh-pa:16052,test
pittsburgh-pa:15501,test
pittsburgh-pa:15142,test
pittsburgh-pa:1992,test
pittsburgh-pa:3691,test
pittsburgh-pa:10961,test
pittsburgh-pa:9075,test
pittsburgh-pa:10520,test
pittsburgh-pa:14274,test
pittsburgh-pa:167,test
pittsburgh-pa:2404,test
pittsburgh-pa:8475,test
pittsburgh-pa:13291,test
pittsburgh-pa:15036,test
pittsburgh-pa:9015,test
pittsburgh-pa:3363,test
pittsburgh-pa:3370,test
pittsburgh-pa:7093,test
pittsburgh-pa:15126,test
pittsburgh-pa:15278,test
pittsburgh-pa:16378,test
pittsburgh-pa:13273,test
pittsburgh-pa:7972,test
pittsburgh-pa:14023,test
pittsburgh-pa:12019,test
pittsburgh-pa:16495,test
pittsburgh-pa:16393,test
pittsburgh-pa:8845,test
pittsburgh-pa:12646,test
pittsburgh-pa:11314,test
pittsburgh-pa:3187,test
pittsburgh-pa:8529,test
pittsburgh-pa:9820,test
pittsburgh-pa:13791,test
pittsburgh-pa:11751,test
pittsburgh-pa:3754,test
pittsburgh-pa:1986,test
pittsburgh-pa:8702,test
pittsburgh-pa:15398,test
pittsburgh-pa:16204,test
pittsburgh-pa:5522,test
pittsburgh-pa:1816,test
pittsburgh-pa:11307,test
pittsburgh-pa:5520,test
pittsburgh-pa:9869,test
pittsburgh-pa:15161,test
pittsburgh-pa:9235,test
pittsburgh-pa:1013,test
pittsburgh-pa:15758,test
pittsburgh-pa:8798,test
pittsburgh-pa:14410,test
pittsburgh-pa:6591,test
pittsburgh-pa:3911,test
pittsburgh-pa:8560,test
seattle-wa:218199,test
seattle-wa:873,test
seattle-wa:165149,test
seattle-wa:13729,test
seattle-wa:188904,test
seattle-wa:33924,test
seattle-wa:170046,test
seattle-wa:123279,test
seattle-wa:178987,test
seattle-wa:99197,test
seattle-wa:207350,test
seattle-wa:17123,test
seattle-wa:145848,test
seattle-wa:175110,test
seattle-wa:208995,test
seattle-wa:37644,test
seattle-wa:141782,test
seattle-wa:75860,test
seattle-wa:117963,test
seattle-wa:200230,test
seattle-wa:109452,test
seattle-wa:251103,test
seattle-wa:184891,test
seattle-wa:255072,test
seattle-wa:141755,test
seattle-wa:127220,test
seattle-wa:235657,test
seattle-wa:11268,test
seattle-wa:263134,test
seattle-wa:11166,test
seattle-wa:210105,test
seattle-wa:98554,test
seattle-wa:209451,test
seattle-wa:6034,test
seattle-wa:44981,test
seattle-wa:554,test
seattle-wa:107880,test
seattle-wa:227064,test
seattle-wa:196878,test
seattle-wa:269010,test
seattle-wa:17185,test
seattle-wa:115288,test
seattle-wa:72491,test
seattle-wa:232068,test
seattle-wa:251871,test
seattle-wa:31038,test
seattle-wa:162061,test
seattle-wa:66954,test
seattle-wa:30900,test
seattle-wa:189379,test
seattle-wa:97638,test
seattle-wa:170176,test
seattle-wa:75861,test
seattle-wa:187372,test
seattle-wa:223527,test
seattle-wa:115338,test
seattle-wa:13706,test
seattle-wa:255076,test
seattle-wa:251906,test
seattle-wa:268958,test
seattle-wa:15942,test
seattle-wa:124690,test
seattle-wa:38267,test
seattle-wa:164986,test
seattle-wa:235921,test
seattle-wa:191593,test
seattle-wa:96681,test
seattle-wa:96732,test
seattle-wa:166262,test
seattle-wa:194307,test
