epoch,loss,train_exact_match_acc,epoch_s,saved
0,0.227734,0.50473,161.227699,best
1,0.170339,0.594255,109.217762,best
2,0.150692,0.621597,109.497448,best
3,0.134598,0.646747,112.545125,best
4,0.118279,0.675127,111.531425,best
5,0.10098,0.718505,111.449016,best
6,0.08379,0.767074,110.825535,best
7,0.0681,0.81599,110.957766,best
8,0.054436,0.859483,110.649429,best
9,0.043285,0.894901,109.84341,best
10,0.034114,0.926165,109.668658,best
11,0.026958,0.945085,111.702029,best
12,0.021362,0.962967,113.951778,best
13,0.017692,0.971735,111.15539,best
14,0.01413,0.978657,114.204555,best
15,0.01184,0.983733,112.869652,best
16,0.010135,0.985464,112.985786,best
17,0.008796,0.987886,111.864108,best
18,0.0072,0.991347,112.566822,best
19,0.00587,0.994462,111.318948,best
20,0.004679,0.996308,111.361212,best
21,0.004605,0.995731,109.713029,
22,0.004046,0.996078,110.112838,
23,0.003772,0.996654,111.268298,best
24,0.002347,0.999308,110.42933,best
25,0.002787,0.997577,110.675951,
26,0.002837,0.997462,108.801155,
27,0.002714,0.997231,108.643621,
28,0.00181,0.998616,109.182196,
29,0.001457,0.999308,110.229321,best
30,0.002128,0.997,109.669071,
31,0.00223,0.996193,109.708367,
32,0.001546,0.998616,109.700686,
33,0.002181,0.995616,109.593879,
34,0.00178,0.997347,111.065164,
35,0.00142,0.998039,109.157689,
36,0.001165,0.999077,109.315876,
37,0.002074,0.996424,109.869887,
38,0.001268,0.998616,109.849818,
39,0.000668,0.999654,110.589258,best
40,0.001879,0.995731,111.236729,
41,0.000928,0.999077,108.810368,
42,0.001309,0.997577,110.651358,
43,0.00117,0.9985,110.519523,
44,0.001927,0.995501,109.474952,
45,0.000799,0.998962,109.954803,
46,0.000633,0.999423,110.273613,
47,0.001965,0.996539,109.68404,
48,0.001576,0.997,109.787692,
49,0.001291,0.997231,109.610047,
50,0.001188,0.997808,109.619489,
51,0.001167,0.997808,110.533255,
52,0.00168,0.996654,110.150587,
53,0.001456,0.996885,109.993949,
54,0.000906,0.998616,110.080457,
55,0.000475,0.999423,109.606044,
56,0.000882,0.998846,108.958859,
57,0.001065,0.997693,108.763431,
58,0.001487,0.996308,109.048709,
59,0.000471,0.999423,109.580714,
60,0.001227,0.997,110.702069,
61,0.001205,0.997231,110.243127,
62,0.000486,0.999423,110.43226,
63,0.001119,0.997462,110.284478,
64,0.001403,0.997,110.607155,
65,0.000739,0.998846,109.667558,
66,0.00102,0.998154,109.351011,
67,0.001214,0.997231,111.133174,
68,0.000729,0.9985,109.297833,
69,0.000321,0.999539,110.601898,
70,0.000441,0.999423,112.952251,
71,0.001703,0.99527,112.309911,
72,0.00068,0.998846,110.202187,
73,0.000483,0.999192,110.714416,
74,0.00111,0.996885,109.259959,
75,0.00068,0.998846,109.582151,
76,0.000397,0.999539,109.577489,
77,0.000248,0.999769,110.61711,best
78,0.001332,0.996424,110.230605,
79,0.000547,0.999192,110.231918,
80,0.000738,0.998269,112.082311,
81,0.000581,0.998962,125.307446,
82,0.001106,0.997577,125.216732,
83,0.00047,0.999423,117.183444,
84,0.000792,0.9985,109.72529,
85,0.001366,0.997116,109.330791,
86,0.000836,0.998039,112.440028,
87,0.000923,0.998039,116.828678,
88,0.00057,0.998846,112.350991,
89,0.000454,0.999077,112.463185,
90,0.000879,0.9985,109.705081,
91,0.001067,0.997116,109.461663,
92,0.000418,0.999308,110.341782,
93,0.000783,0.998269,109.205959,
94,0.000652,0.998846,111.61851,
95,0.000824,0.998039,112.113862,
96,0.000441,0.999192,116.152269,
97,0.001209,0.997231,119.928163,
98,0.000692,0.998269,110.346759,
99,0.000922,0.997462,108.961627,
