epoch,loss,train_exact_match_acc,epoch_s,saved
0,0.23047,0.496885,115.090945,best
1,0.175502,0.587563,112.914738,best
2,0.156975,0.612367,112.812873,best
3,0.14261,0.631749,111.923853,best
4,0.128581,0.65263,111.153474,best
5,0.113358,0.680318,111.891851,best
6,0.098185,0.71862,112.518564,best
7,0.083058,0.76269,113.01982,best
8,0.068921,0.810683,112.432662,best
9,0.055952,0.853599,112.678493,best
10,0.044982,0.892478,111.11137,best
11,0.036507,0.919012,111.322083,best
12,0.029687,0.93874,111.46888,best
13,0.024013,0.957199,112.087037,best
14,0.019361,0.965621,111.261868,best
15,0.016163,0.975081,111.04227,best
16,0.013005,0.983849,113.797589,best
17,0.010638,0.985579,115.636415,best
18,0.008926,0.989617,111.718042,best
19,0.007678,0.991232,114.996427,best
20,0.007847,0.990194,109.717949,
21,0.004751,0.997462,111.261545,best
22,0.004734,0.995962,111.785762,
23,0.005093,0.993886,111.572755,
24,0.00375,0.997577,111.277052,best
25,0.003807,0.995501,110.795747,
26,0.003132,0.996885,110.634502,
27,0.003145,0.997231,113.984274,
28,0.001863,0.999308,111.291143,best
29,0.002681,0.996539,113.236569,
30,0.002214,0.997577,114.132397,
31,0.002602,0.99677,111.905942,
32,0.002309,0.99677,113.675024,
33,0.00238,0.995847,111.335001,
34,0.001988,0.997808,110.677099,
35,0.001278,0.999077,111.711366,
36,0.001915,0.997116,112.1211,
37,0.002678,0.995616,111.825434,
38,0.001917,0.997116,110.194546,
39,0.001455,0.998269,110.597,
40,0.001785,0.996885,111.084407,
41,0.001327,0.998846,111.081349,
42,0.000826,0.999423,110.496919,best
43,0.002956,0.993424,111.884782,
44,0.001072,0.998846,113.260692,
45,0.001342,0.998269,113.742413,
46,0.001097,0.998846,112.724784,
47,0.000576,0.999539,112.259624,best
48,0.001914,0.995847,111.933579,
49,0.0013,0.997693,111.920014,
50,0.001114,0.998846,112.20441,
51,0.00068,0.998962,111.970727,
52,0.00099,0.998731,111.671996,
53,0.002057,0.995616,111.27923,
54,0.000786,0.999192,111.04392,
55,0.000425,0.999539,110.752462,best
56,0.001229,0.998269,111.584245,
57,0.001731,0.995847,111.394463,
58,0.001219,0.998269,112.042733,
59,0.001716,0.997,112.481786,
60,0.000915,0.999077,111.094527,
61,0.001529,0.996078,111.259265,
62,0.000985,0.998269,111.22163,
63,0.000371,0.999654,110.42295,best
64,0.001424,0.996078,111.540763,
65,0.001751,0.995501,111.488228,
66,0.000907,0.998039,112.612806,
67,0.000642,0.999192,110.858896,
68,0.000879,0.998039,111.634344,
69,0.001671,0.996654,112.312826,
70,0.000894,0.998385,111.684911,
71,0.000906,0.997923,111.35355,
72,0.000526,0.999423,114.356442,
73,0.001152,0.996654,113.594676,
74,0.000957,0.998731,111.997725,
75,0.000287,0.999539,111.912143,
76,0.000238,0.999539,112.330917,
77,0.000252,0.999654,112.847729,best
78,0.002631,0.992732,112.060586,
79,0.001373,0.997693,111.22252,
80,0.000922,0.998039,111.807075,
81,0.001278,0.997231,113.281575,
82,0.000957,0.997577,111.923715,
83,0.000475,0.999423,111.260232,
84,0.000651,0.998616,111.4143,
85,0.001509,0.996885,114.707118,
86,0.001262,0.997116,111.950577,
87,0.00066,0.998846,112.342213,
88,0.000741,0.998962,112.700812,
89,0.001658,0.996078,112.273984,
90,0.00068,0.998731,111.207783,
91,0.000819,0.998154,111.830687,
92,0.001291,0.996654,112.181693,
93,0.000724,0.999077,111.943361,
94,0.000404,0.999308,110.63127,
95,0.001383,0.996885,111.613922,
96,0.00103,0.997808,111.924405,
97,0.00083,0.998269,111.533876,
98,0.000371,0.999539,111.367424,
99,0.000211,0.999769,111.916172,best
