filename,city,label_id,pano_id,pano_in_train,nearest_train_m,missing-tactile-warning,narrow,not-enough-landing-space,not-level-with-street,parallel-lines,points-into-traffic,pooled-water,steep,surface-problem,tactile-warning,prob:missing-tactile-warning,prob:narrow,prob:not-enough-landing-space,prob:not-level-with-street,prob:parallel-lines,prob:points-into-traffic,prob:pooled-water,prob:steep,prob:surface-problem,prob:tactile-warning
pittsburgh-pa__9291__fov25px57.jpg,pittsburgh-pa,9291,P8PA9bXlPnei1v7MNChLGQ,True,12.358181,1,0,0,0,0,1,0,0,0,0,0.992205,0.0,1.8e-05,1e-06,0.0,6.6e-05,2e-06,0.0,0.0,0.0
pittsburgh-pa__10833__fov25px57.jpg,pittsburgh-pa,10833,fHEg62KQBAHbpNK1uEIsNg,False,75.966976,1,0,0,0,0,1,0,0,0,0,0.999905,7e-06,8.6e-05,0.0,0.0,1.2e-05,1e-06,0.0,8e-06,0.0
pittsburgh-pa__15469__fov25px57.jpg,pittsburgh-pa,15469,PMdtMPANZH9M4nbLWIfIkA,True,2.481074,0,0,0,0,0,0,0,0,0,0,0.0,3e-06,0.0,0.0,0.0,0.000309,0.0,0.0,0.0,4e-06
pittsburgh-pa__14532__fov25px57.jpg,pittsburgh-pa,14532,zb8poYJHvbJZ3cz8-AHcOg,True,14.156683,1,0,0,1,0,0,0,0,1,0,0.058804,0.0,3e-06,5e-06,0.0,0.0,0.0,0.0,8e-06,0.0
pittsburgh-pa__11619__fov25px57.jpg,pittsburgh-pa,11619,Kt9_aJYTCtMPO--E-UwpHQ,False,13.780798,0,0,1,0,0,0,0,0,0,0,0.002092,0.000826,9e-06,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0
pittsburgh-pa__6684__fov25px57.jpg,pittsburgh-pa,6684,jIxBX30SWOeWh2vSzY2Qaw,False,81.466856,1,0,1,0,0,0,0,0,1,0,0.999942,8.3e-05,0.001893,0.001514,0.0,1e-06,6.8e-05,1.1e-05,0.999946,0.0
pittsburgh-pa__4076__fov25px57.jpg,pittsburgh-pa,4076,EHrsbFMdudQ9R7C42oGSVA,True,23.503951,1,0,1,0,0,1,0,0,0,0,0.999987,0.000435,0.0,2e-06,0.0,0.131103,6e-06,1e-06,0.000358,0.0
pittsburgh-pa__6073__fov25px57.jpg,pittsburgh-pa,6073,W8PsYCxlq4czfZU3DxR_xA,False,2.216819,0,0,0,0,0,1,1,0,0,0,0.000197,0.0,0.0,0.000101,0.0,0.0,6.5e-05,0.0,3.1e-05,0.0
pittsburgh-pa__16216__fov25px57.jpg,pittsburgh-pa,16216,4TGGGwjI4WsB4j84W8wv8w,True,5.590734,0,0,0,0,0,0,0,0,0,0,1.2e-05,1e-06,0.001877,4e-05,0.0,0.000319,0.000112,3.1e-05,1e-06,0.0
pittsburgh-pa__11848__fov25px57.jpg,pittsburgh-pa,11848,lwaDaoMyPG5WH13VsDyOQQ,False,232.910896,1,0,0,0,0,1,0,0,0,0,0.999999,1e-06,0.0,0.001484,0.0,0.000533,1e-06,0.0,5.4e-05,0.0
pittsburgh-pa__11614__fov25px57.jpg,pittsburgh-pa,11614,N-cim7QB57Qt8Ohb0NnFHQ,False,17.875251,0,1,0,0,0,0,0,0,0,0,3e-06,0.0,1e-06,1e-06,0.0,4e-06,2e-06,0.0,0.0,3e-06
pittsburgh-pa__16389__fov25px57.jpg,pittsburgh-pa,16389,Xwd7-oKBDCaMWHq0Ate5Iw,True,11.71689,0,0,0,1,0,0,0,0,0,0,2.4e-05,0.0,0.0,0.0,0.0,2.8e-05,1e-06,0.0,1e-06,1e-06
pittsburgh-pa__12779__fov25px57.jpg,pittsburgh-pa,12779,_OdbzsfGYr5OazXXaqNHSA,False,4.003635,1,0,0,1,0,1,0,0,0,0,0.999981,0.0,3.3e-05,0.000244,0.0,8e-06,1.9e-05,5e-06,0.0,0.0
pittsburgh-pa__15285__fov25px57.jpg,pittsburgh-pa,15285,Io9btWNn_Clbt1Hv76wnMw,True,9.391966,1,0,0,1,0,1,0,0,0,0,0.999996,0.965628,8e-05,3.6e-05,0.0,0.0,3e-06,1.2e-05,0.000605,0.0
pittsburgh-pa__11038__fov25px57.jpg,pittsburgh-pa,11038,YMnn390W-O64Sg6CoKsMHg,False,340.435796,1,0,0,0,0,0,0,0,0,0,0.999991,3e-06,0.0,0.000212,0.0,0.000194,2e-06,0.000297,0.017944,0.0
pittsburgh-pa__15444__fov25px57.jpg,pittsburgh-pa,15444,NK-JJYgNdkrespLgCee72Q,True,4.939189,0,0,0,0,0,1,0,0,0,0,0.0,1e-06,0.0,4e-06,0.0,0.000149,1e-06,0.0,0.0,3e-06
pittsburgh-pa__15082__fov25px57.jpg,pittsburgh-pa,15082,nxLdl08ZuNAdps_MFcTDLA,True,0.957,1,0,0,0,0,0,0,0,1,0,0.999959,1.1e-05,2.4e-05,0.008421,0.0,1.5e-05,0.0,0.000147,6e-05,0.0
pittsburgh-pa__9263__fov25px57.jpg,pittsburgh-pa,9263,QkxTcm5qgfQjq_4wDhLOvg,False,20.431755,0,0,1,0,0,1,0,0,0,0,0.007649,0.0,0.0,0.000278,0.0,0.636334,0.0,0.0,2e-06,0.0
pittsburgh-pa__16460__fov25px57.jpg,pittsburgh-pa,16460,iexp44g8aogv85pdfacNRA,True,5.493266,0,0,0,0,0,0,0,0,0,0,1e-06,6e-06,0.0,3e-06,0.0,1.1e-05,2e-06,0.0,0.0,1e-06
pittsburgh-pa__10750__fov25px57.jpg,pittsburgh-pa,10750,cSzu9WUKATMqH-fYqjtmNQ,False,43.656312,1,0,0,0,0,0,0,0,0,0,0.920228,2.4e-05,1e-06,4e-06,0.0,0.0,3.8e-05,5.6e-05,0.000281,0.0
pittsburgh-pa__6310__fov25px57.jpg,pittsburgh-pa,6310,fj8G20m0kdw2ZALQdxTXTg,False,24.220106,0,1,0,0,0,0,0,0,1,0,0.999682,0.000153,0.003344,2.8e-05,0.0,0.0,4e-06,0.0,0.883792,0.0
pittsburgh-pa__16052__fov25px57.jpg,pittsburgh-pa,16052,eWU6mdzK5laglWKij7FJ4w,False,19.610037,1,0,0,0,0,1,0,0,0,0,0.999998,3e-06,3e-06,0.001955,0.0,0.000237,2e-06,0.0,0.0,0.0
pittsburgh-pa__15501__fov25px57.jpg,pittsburgh-pa,15501,lV7akWojzHwu3e0W8HAz_w,False,69.192865,1,0,0,0,0,0,0,0,0,0,0.999999,7e-06,0.0,0.00091,0.0,1.5e-05,4e-06,0.0,2e-05,0.0
pittsburgh-pa__15142__fov25px57.jpg,pittsburgh-pa,15142,hLyyRXGBAbPSx2cxFMXX2g,True,8.931916,0,0,0,0,0,1,0,0,0,0,2.2e-05,0.0,2e-06,0.0,0.0,2.7e-05,0.0,0.0,0.0,0.0
pittsburgh-pa__1992__fov25px57.jpg,pittsburgh-pa,1992,01ljh4K0oXQosM2i_scj4g,False,6.047459,1,0,0,0,0,0,0,0,0,0,0.999999,0.001294,2e-06,5e-06,0.0,1.6e-05,0.0,1e-06,0.002293,0.0
pittsburgh-pa__3691__fov25px57.jpg,pittsburgh-pa,3691,URmLCKa_YqvhXaLkDfxXTA,False,44.718655,1,0,0,0,0,0,0,0,0,0,0.999927,0.00038,0.0,1e-06,0.0,2.5e-05,5e-06,0.0,2e-06,0.0
pittsburgh-pa__10961__fov25px57.jpg,pittsburgh-pa,10961,ZV4pNFBn4U2amF5yzGPlfA,False,87.91949,0,0,1,0,0,1,0,0,0,0,0.007194,0.0,7e-06,0.0,0.0,7e-06,1e-06,0.0,4e-06,0.0
pittsburgh-pa__9075__fov25px57.jpg,pittsburgh-pa,9075,fHTvpZOS7ZJpp0NTTG2UdQ,False,100.83855,1,0,0,0,0,0,0,0,0,0,0.999999,1e-06,0.000126,2.5e-05,0.0,0.301891,0.0,4e-06,1e-06,0.0
pittsburgh-pa__10520__fov25px57.jpg,pittsburgh-pa,10520,xDkkX1-_jjpaYkkr4pA7vA,True,8.191489,1,0,0,0,0,1,0,0,0,0,1.0,0.000268,0.001316,0.00011,0.0,0.754686,8e-06,9e-06,2e-06,0.0
pittsburgh-pa__14274__fov25px57.jpg,pittsburgh-pa,14274,lk637cR9YnFdyt9bDjrhHA,False,55.00402,0,0,0,0,0,0,0,0,0,0,0.999694,4e-05,2e-06,1e-05,0.0,0.0,2.2e-05,1e-06,0.0,0.0
pittsburgh-pa__167__fov25px57.jpg,pittsburgh-pa,167,oQTso5D_D2w65XSCJIdEDg,True,5.971401,0,1,0,1,0,0,0,0,0,0,0.0,5.8e-05,3.2e-05,2.3e-05,0.0,1e-06,5e-06,1e-06,1e-06,2e-06
pittsburgh-pa__2404__fov25px57.jpg,pittsburgh-pa,2404,zYSc5F1pnB1WS0_BC8nP4Q,False,147.115367,0,0,0,0,0,0,0,0,0,0,0.966336,2e-06,3e-06,0.0,0.0,1e-05,0.0,0.0,1e-06,0.0
pittsburgh-pa__8475__fov25px57.jpg,pittsburgh-pa,8475,WSJQ4mndJ43K5zkxtfptmQ,False,82.723947,1,1,1,0,0,0,0,0,0,0,0.999998,0.011219,6e-06,6e-06,0.0,0.0,3.5e-05,0.0,0.000193,0.0
pittsburgh-pa__13291__fov25px57.jpg,pittsburgh-pa,13291,KdfNJkdlFZnkrmJFf8u7jw,False,15.178616,1,0,0,0,0,0,0,0,0,0,0.993574,0.0,0.0,9.4e-05,0.0,0.0,1e-06,1e-06,0.000388,0.0
pittsburgh-pa__15036__fov25px57.jpg,pittsburgh-pa,15036,vA07hp5GQz82iLYysIepJQ,True,6.994571,0,0,0,0,0,0,0,0,0,0,0.99679,6e-06,1e-06,1e-06,0.0,0.0,1e-06,1.4e-05,1e-06,0.0
pittsburgh-pa__9015__fov25px57.jpg,pittsburgh-pa,9015,YPRBkpXX2b30ZJMYijefug,True,12.527196,1,0,0,0,0,1,0,0,0,0,0.999878,0.0,0.000121,0.00046,0.0,1e-06,6e-06,0.0,0.005276,0.0
pittsburgh-pa__3363__fov25px57.jpg,pittsburgh-pa,3363,WC_sNpTMeShXjX4DsWxE9A,True,12.661755,0,0,0,0,0,1,0,0,0,0,3e-06,0.0,1e-06,3e-06,0.0,0.78916,0.0,0.0,0.0,1e-06
pittsburgh-pa__3370__fov25px57.jpg,pittsburgh-pa,3370,cPnhyW_vIRa2JK0JfYIWZQ,False,35.973213,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1e-06,0.0,0.000326,2e-06,0.0,1e-06,6.3e-05
pittsburgh-pa__7093__fov25px57.jpg,pittsburgh-pa,7093,UAMBcVGWT32SLivPUlgXAQ,False,70.908033,0,0,0,0,0,0,0,0,0,0,2e-06,0.0,1.3e-05,2e-06,0.0,0.0,2e-06,0.0,6e-06,1e-06
pittsburgh-pa__15126__fov25px57.jpg,pittsburgh-pa,15126,LwwyT0zHHC_6i8DTbOsf9Q,False,21.969094,1,0,0,0,0,0,0,0,0,0,1.1e-05,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-05,2e-06
pittsburgh-pa__15278__fov25px57.jpg,pittsburgh-pa,15278,jJFnRdrdOoKDxDyUrnmODQ,False,42.161142,0,0,0,0,0,0,0,0,0,0,0.001236,0.0,0.0,1e-06,0.0,1e-06,1.6e-05,1e-06,4.4e-05,0.0
pittsburgh-pa__16378__fov25px57.jpg,pittsburgh-pa,16378,3VJW21LZB_5Qwh08vJFvjA,True,9.038557,0,0,0,0,0,0,0,0,0,0,6e-06,1e-06,3e-06,0.0,0.0,6e-06,1e-06,0.0,1e-06,0.0
pittsburgh-pa__13273__fov25px57.jpg,pittsburgh-pa,13273,w0o84dfoe57kN_PlDiBNTw,True,9.545139,1,0,0,0,0,0,0,0,0,0,0.999993,0.001424,0.007875,5e-06,0.0,0.996251,0.0,2e-06,0.0,0.0
pittsburgh-pa__7972__fov25px57.jpg,pittsburgh-pa,7972,Bif6JQhdmG0d870_AAS3iQ,False,138.44292,1,0,0,0,0,0,0,0,0,0,0.998295,0.000313,1e-06,0.002044,0.0,0.0,1e-06,0.0,0.0,0.0
pittsburgh-pa__14023__fov25px57.jpg,pittsburgh-pa,14023,RsdhaZ1wIAxEhUEKB12Ljg,False,110.299015,1,0,0,0,0,0,0,0,0,0,0.997164,2.2e-05,1e-06,0.00022,0.0,3e-06,0.0,0.0,0.000384,0.0
pittsburgh-pa__12019__fov25px57.jpg,pittsburgh-pa,12019,SUzSOIAGnjyCowqkpU9amA,False,137.708068,1,0,0,0,0,0,0,1,0,0,0.173464,1.9e-05,0.0,1e-06,0.0,1e-06,1e-06,0.0,0.000115,0.0
pittsburgh-pa__16495__fov25px57.jpg,pittsburgh-pa,16495,U0MC2CT1E4Z5TD9xJuNeUA,True,3.735038,1,0,0,0,0,0,0,0,0,0,0.999885,4e-06,5e-06,0.0,0.0,1e-05,2e-06,0.0,0.0,0.0
pittsburgh-pa__16393__fov25px57.jpg,pittsburgh-pa,16393,c7RcXhEjyLmF7bE_qxTEnw,False,283.046862,1,0,0,1,0,0,0,0,0,0,0.999957,1e-06,4e-06,0.000964,0.0,0.0,3e-06,1.6e-05,0.000162,0.0
pittsburgh-pa__8845__fov25px57.jpg,pittsburgh-pa,8845,rSKfpxfgTaSGwnP9VzMk1g,False,49.417429,1,1,0,0,0,0,0,0,0,0,0.999935,0.0,3e-06,4e-05,0.0,0.000298,2e-06,2e-06,0.0,0.0
pittsburgh-pa__12646__fov25px57.jpg,pittsburgh-pa,12646,s1K1zvP4P_GPgZZc9LGa1A,True,11.110815,0,0,0,0,0,0,0,0,0,0,0.0,0.000915,0.0,1.7e-05,0.0,0.0,1e-06,3e-06,1.1e-05,4e-05
