filename,city,label_id,pano_id,pano_in_train,nearest_train_m,missing-tactile-warning,narrow,not-enough-landing-space,not-level-with-street,parallel-lines,points-into-traffic,pooled-water,steep,surface-problem,tactile-warning,prob:missing-tactile-warning,prob:narrow,prob:not-enough-landing-space,prob:not-level-with-street,prob:parallel-lines,prob:points-into-traffic,prob:pooled-water,prob:steep,prob:surface-problem,prob:tactile-warning
pittsburgh-pa__9291__fov50.jpg,pittsburgh-pa,9291,P8PA9bXlPnei1v7MNChLGQ,True,12.358181,1,0,0,0,0,1,0,0,0,0,0.904369,0.0,3e-06,1e-06,0.0,6.5e-05,1.3e-05,0.0,2e-06,0.0
pittsburgh-pa__10833__fov50.jpg,pittsburgh-pa,10833,fHEg62KQBAHbpNK1uEIsNg,False,75.966976,1,0,0,0,0,1,0,0,0,0,0.999979,2e-06,0.000104,7e-06,0.0,0.100535,1.8e-05,4.6e-05,2e-06,1e-06
pittsburgh-pa__15469__fov50.jpg,pittsburgh-pa,15469,PMdtMPANZH9M4nbLWIfIkA,True,2.481074,0,0,0,0,0,0,0,0,0,0,4.3e-05,7e-05,1e-06,4.9e-05,0.0,2e-06,6.9e-05,1.3e-05,2e-06,1.4e-05
pittsburgh-pa__14532__fov50.jpg,pittsburgh-pa,14532,zb8poYJHvbJZ3cz8-AHcOg,True,14.156683,1,0,0,1,0,0,0,0,1,0,0.002438,1e-06,0.0,0.000105,0.0,0.259029,8e-06,5e-06,2.7e-05,1.2e-05
pittsburgh-pa__11619__fov50.jpg,pittsburgh-pa,11619,Kt9_aJYTCtMPO--E-UwpHQ,False,13.780798,0,0,1,0,0,0,0,0,0,0,1.2e-05,0.01225,0.000462,2e-05,0.0,4e-06,3e-05,1.2e-05,6e-06,1e-06
pittsburgh-pa__6684__fov50.jpg,pittsburgh-pa,6684,jIxBX30SWOeWh2vSzY2Qaw,False,81.466856,1,0,1,0,0,0,0,0,1,0,0.754606,0.000131,1e-06,0.000238,0.0,0.001142,0.030177,0.0,0.938535,1e-06
pittsburgh-pa__4076__fov50.jpg,pittsburgh-pa,4076,EHrsbFMdudQ9R7C42oGSVA,True,23.503951,1,0,1,0,0,1,0,0,0,0,0.999977,4e-06,5e-06,3.7e-05,0.0,0.0131,3e-06,1e-06,1.9e-05,0.0
pittsburgh-pa__6073__fov50.jpg,pittsburgh-pa,6073,W8PsYCxlq4czfZU3DxR_xA,False,2.216819,0,0,0,0,0,1,1,0,0,0,1.6e-05,3e-06,4e-06,2.4e-05,0.0,1e-06,8.2e-05,3e-06,0.000182,3e-06
pittsburgh-pa__16216__fov50.jpg,pittsburgh-pa,16216,4TGGGwjI4WsB4j84W8wv8w,True,5.590734,0,0,0,0,0,0,0,0,0,0,1.7e-05,0.000211,0.000132,3e-06,0.0,3e-06,1.1e-05,2e-06,1.6e-05,0.0
pittsburgh-pa__11848__fov50.jpg,pittsburgh-pa,11848,lwaDaoMyPG5WH13VsDyOQQ,False,232.910896,1,0,0,0,0,1,0,0,0,0,0.999987,9e-06,0.0,0.000528,0.0,0.00303,9e-06,2.7e-05,4.6e-05,1e-06
