filename,city,label_id,pano_id,pano_in_train,nearest_train_m,missing-tactile-warning,narrow,not-enough-landing-space,not-level-with-street,parallel-lines,points-into-traffic,pooled-water,steep,surface-problem,tactile-warning,prob:missing-tactile-warning,prob:narrow,prob:not-enough-landing-space,prob:not-level-with-street,prob:parallel-lines,prob:points-into-traffic,prob:pooled-water,prob:steep,prob:surface-problem,prob:tactile-warning
pittsburgh-pa__9291__fov90.jpg,pittsburgh-pa,9291,P8PA9bXlPnei1v7MNChLGQ,True,12.358181,1,0,0,0,0,1,0,0,0,0,0.386056,1e-06,9e-06,1e-06,0.0,8e-06,5e-06,7e-06,1.3e-05,0.0
pittsburgh-pa__10833__fov90.jpg,pittsburgh-pa,10833,fHEg62KQBAHbpNK1uEIsNg,False,75.966976,1,0,0,0,0,1,0,0,0,0,0.999839,5e-06,1e-06,3e-06,0.0,0.000849,7e-06,1.3e-05,1.1e-05,2e-06
pittsburgh-pa__15469__fov90.jpg,pittsburgh-pa,15469,PMdtMPANZH9M4nbLWIfIkA,True,2.481074,0,0,0,0,0,0,0,0,0,0,1.2e-05,1.7e-05,7e-06,1.3e-05,0.0,0.002049,0.000421,9e-06,0.000121,4e-06
pittsburgh-pa__14532__fov90.jpg,pittsburgh-pa,14532,zb8poYJHvbJZ3cz8-AHcOg,True,14.156683,1,0,0,1,0,0,0,0,1,0,0.997194,2.5e-05,0.012864,3e-06,0.0,7e-06,0.000556,0.000104,0.776345,1e-06
pittsburgh-pa__11619__fov90.jpg,pittsburgh-pa,11619,Kt9_aJYTCtMPO--E-UwpHQ,False,13.780798,0,0,1,0,0,0,0,0,0,0,1e-05,3e-06,0.017952,1.1e-05,0.0,7e-05,3e-06,1.7e-05,5e-06,2.2e-05
pittsburgh-pa__6684__fov90.jpg,pittsburgh-pa,6684,jIxBX30SWOeWh2vSzY2Qaw,False,81.466856,1,0,1,0,0,0,0,0,1,0,0.999838,0.000846,1.9e-05,0.00041,0.0,7.5e-05,0.007323,0.00018,0.994124,1e-06
pittsburgh-pa__4076__fov90.jpg,pittsburgh-pa,4076,EHrsbFMdudQ9R7C42oGSVA,True,23.503951,1,0,1,0,0,1,0,0,0,0,0.999971,0.000721,2e-06,0.00014,0.0,0.995785,1e-06,3e-05,1e-06,2.8e-05
pittsburgh-pa__6073__fov90.jpg,pittsburgh-pa,6073,W8PsYCxlq4czfZU3DxR_xA,False,2.216819,0,0,0,0,0,1,1,0,0,0,7e-06,4e-06,3e-05,1.5e-05,0.0,3.1e-05,1.7e-05,8e-06,0.000446,5e-06
pittsburgh-pa__16216__fov90.jpg,pittsburgh-pa,16216,4TGGGwjI4WsB4j84W8wv8w,True,5.590734,0,0,0,0,0,0,0,0,0,0,6e-06,6.7e-05,0.00056,1e-05,0.0,3e-06,1e-06,1e-05,6e-06,6.2e-05
pittsburgh-pa__11848__fov90.jpg,pittsburgh-pa,11848,lwaDaoMyPG5WH13VsDyOQQ,False,232.910896,1,0,0,0,0,1,0,0,0,0,0.999963,4.2e-05,1e-06,4.2e-05,0.0,1.5e-05,2e-06,3.3e-05,1.7e-05,1e-06
pittsburgh-pa__11614__fov90.jpg,pittsburgh-pa,11614,N-cim7QB57Qt8Ohb0NnFHQ,False,17.875251,0,1,0,0,0,0,0,0,0,0,0.000159,3e-06,1e-05,3e-06,0.0,4e-06,2e-06,1.2e-05,4e-06,5e-06
pittsburgh-pa__16389__fov90.jpg,pittsburgh-pa,16389,Xwd7-oKBDCaMWHq0Ate5Iw,True,11.71689,0,0,0,1,0,0,0,0,0,0,0.003719,0.0,1.2e-05,1.7e-05,0.0,0.0,3.1e-05,1.2e-05,0.100246,6e-06
pittsburgh-pa__12779__fov90.jpg,pittsburgh-pa,12779,_OdbzsfGYr5OazXXaqNHSA,False,4.003635,1,0,0,1,0,1,0,0,0,0,0.999797,0.000928,1e-06,4e-06,0.0,1.5e-05,0.000122,4.1e-05,0.000111,1e-06
pittsburgh-pa__15285__fov90.jpg,pittsburgh-pa,15285,Io9btWNn_Clbt1Hv76wnMw,True,9.391966,1,0,0,1,0,1,0,0,0,0,0.999999,0.00425,3.3e-05,1e-06,0.0,0.649119,3.6e-05,1.4e-05,6e-06,1e-06
pittsburgh-pa__11038__fov90.jpg,pittsburgh-pa,11038,YMnn390W-O64Sg6CoKsMHg,False,340.435796,1,0,0,0,0,0,0,0,0,0,0.998986,3e-06,1e-06,8.1e-05,0.0,3e-06,0.0,4e-06,0.000104,1e-06
pittsburgh-pa__15444__fov90.jpg,pittsburgh-pa,15444,NK-JJYgNdkrespLgCee72Q,True,4.939189,0,0,0,0,0,1,0,0,0,0,6e-06,1.4e-05,2e-06,4e-06,0.0,0.001159,7.1e-05,3e-06,3.3e-05,8e-06
pittsburgh-pa__15082__fov90.jpg,pittsburgh-pa,15082,nxLdl08ZuNAdps_MFcTDLA,True,0.957,1,0,0,0,0,0,0,0,1,0,0.999994,1.2e-05,0.000455,7.1e-05,0.0,0.000997,2e-06,2.2e-05,0.000101,1e-06
pittsburgh-pa__9263__fov90.jpg,pittsburgh-pa,9263,QkxTcm5qgfQjq_4wDhLOvg,False,20.431755,0,0,1,0,0,1,0,0,0,0,0.249109,3e-06,1e-06,0.000212,0.0,2e-06,0.0,1.4e-05,3e-06,2e-06
