epoch,loss,train_exact_match_acc,epoch_s,saved
0,0.272137,0.43874,115.532161,best
1,0.204095,0.538186,110.113157,best
2,0.177834,0.577988,110.719483,best
3,0.160017,0.606253,109.584127,best
4,0.143366,0.631864,110.33927,best
5,0.126328,0.661398,109.606083,best
6,0.107406,0.700738,110.533366,best
7,0.089229,0.752884,110.211931,best
8,0.072217,0.812529,110.098623,best
9,0.05763,0.870328,109.92024,best
10,0.045844,0.906899,110.287506,best
11,0.036649,0.93078,111.153626,best
12,0.029519,0.94797,111.191676,best
13,0.024165,0.959275,110.301418,best
14,0.020196,0.968043,110.545412,best
15,0.016691,0.97312,109.780587,best
16,0.013857,0.981541,109.729538,best
17,0.01059,0.988348,109.698073,best
18,0.009657,0.988002,110.369551,
19,0.008195,0.990886,110.559215,best
20,0.006504,0.994693,109.687743,best
21,0.006235,0.993539,109.89116,
22,0.005609,0.994462,109.741994,
23,0.00429,0.996885,109.721669,best
24,0.00415,0.995731,109.27656,
25,0.004602,0.994347,109.207504,
26,0.003163,0.997577,109.95048,best
27,0.002804,0.997231,109.517193,
28,0.003152,0.996078,109.790849,
29,0.003158,0.996424,110.021154,
30,0.0025,0.997577,110.188797,best
31,0.002504,0.997231,109.883571,
32,0.002281,0.997,109.772566,
33,0.002497,0.996193,109.838881,
34,0.002,0.998039,109.74844,best
35,0.001816,0.9985,109.020149,best
36,0.001762,0.9985,109.47714,best
37,0.002311,0.996193,108.542734,
38,0.002189,0.99677,108.297787,
39,0.001501,0.997462,108.452433,
40,0.002288,0.996193,108.632975,
41,0.001751,0.997693,108.427961,
42,0.000859,0.999654,108.521292,best
43,0.001752,0.99677,108.886721,
44,0.001736,0.997347,108.926154,
45,0.002167,0.994462,108.9965,
46,0.001262,0.998154,108.897663,
47,0.000451,1.0,108.635792,best
48,0.0024,0.994924,108.970487,
49,0.001386,0.997577,108.871727,
50,0.00076,0.999423,109.024341,
51,0.001626,0.996193,109.769996,
52,0.002147,0.996424,110.154455,
53,0.001014,0.998269,110.132906,
54,0.001452,0.997347,110.398214,
55,0.0017,0.99677,110.222659,
56,0.001061,0.998039,111.089829,
57,0.00137,0.996308,110.46346,
58,0.001102,0.998269,110.151478,
59,0.001085,0.997923,110.660755,
60,0.001974,0.995847,110.182186,
61,0.000879,0.9985,110.094123,
62,0.001464,0.99677,110.091665,
63,0.001437,0.996885,110.243574,
64,0.001584,0.997231,110.384325,
65,0.001144,0.998269,110.251405,
66,0.001044,0.998385,110.189934,
67,0.001446,0.997577,110.232558,
68,0.001342,0.997347,110.109229,
69,0.001776,0.997,110.302045,
70,0.000909,0.999077,110.252476,
71,0.001638,0.996078,110.332477,
72,0.001087,0.997347,110.871256,
73,0.001209,0.998039,109.787238,
74,0.001207,0.997577,109.155468,
75,0.000789,0.998616,108.88231,
76,0.000823,0.998269,109.208813,
77,0.000998,0.998269,109.27967,
78,0.001164,0.997923,109.306901,
79,0.001447,0.996424,109.801276,
80,0.000669,0.998846,109.199051,
81,0.000914,0.998269,109.018179,
82,0.000868,0.998154,108.819387,
83,0.001389,0.996424,109.366285,
84,0.000639,0.999077,109.181219,
85,0.000607,0.998962,110.733064,
86,0.0011,0.998269,109.417375,
87,0.001705,0.995731,109.198025,
88,0.000892,0.998039,109.248663,
89,0.000241,0.999885,108.818481,
90,0.000694,0.998616,109.017328,
91,0.00096,0.998154,109.692557,
92,0.001019,0.997693,109.178079,
93,0.001082,0.998039,109.096272,
94,0.000982,0.998269,109.321424,
95,0.000295,0.999654,109.494903,
96,0.001837,0.995731,109.361365,
97,0.000847,0.997923,109.327544,
98,0.001005,0.997808,109.2315,
99,0.001107,0.997808,109.426134,
