epoch,loss,train_exact_match_acc,epoch_s,saved
0,0.2304,0.496424,130.370379,best
1,0.172544,0.588832,112.656176,best
2,0.152622,0.617097,112.214899,best
3,0.136799,0.637863,121.305958,best
4,0.120383,0.666013,117.365619,best
5,0.102456,0.706045,126.145662,best
6,0.083975,0.757383,112.813169,best
7,0.066962,0.820835,112.291304,best
8,0.052036,0.871481,111.655802,best
9,0.039962,0.910245,111.524963,best
10,0.030989,0.938625,112.165956,best
11,0.024156,0.958353,112.253639,best
12,0.018927,0.970466,111.988489,best
13,0.015457,0.978311,112.282376,best
14,0.012433,0.983964,112.427951,best
15,0.010525,0.986502,112.688475,best
16,0.008561,0.989386,112.713275,best
17,0.007491,0.99227,112.797602,best
18,0.005873,0.994347,112.472948,best
19,0.004681,0.996654,112.931459,best
20,0.004669,0.994924,112.441123,
21,0.003655,0.996885,112.768933,best
22,0.003398,0.997347,116.079421,best
23,0.003683,0.995155,119.915987,
24,0.002453,0.998846,114.087497,best
25,0.001892,0.999077,112.673652,best
26,0.001887,0.998385,112.497654,
27,0.002867,0.996078,117.028997,
28,0.002159,0.997462,112.111742,
29,0.001466,0.999077,112.781168,best
30,0.002804,0.995501,112.89728,
31,0.001373,0.999539,117.544371,best
32,0.000743,0.999885,112.300426,best
33,0.000675,0.999423,112.021394,
34,0.002268,0.994924,112.000475,
35,0.001335,0.998616,111.713189,
36,0.001189,0.998731,111.971614,
37,0.000625,0.999769,111.756987,
38,0.001455,0.997693,111.723304,
39,0.001694,0.996539,111.812248,
40,0.00175,0.996424,112.136171,
41,0.000778,0.999539,112.482167,
42,0.000408,0.999885,112.801775,best
43,0.000975,0.998154,112.394133,
44,0.000937,0.998962,112.330573,
45,0.000915,0.998154,112.265493,
46,0.000756,0.999192,112.300906,
47,0.000828,0.998962,112.313399,
48,0.000844,0.998846,112.377804,
49,0.001323,0.997,112.319783,
50,0.001864,0.997,112.288845,
51,0.000606,0.999539,112.302297,
52,0.001523,0.997231,112.344331,
53,0.001329,0.99677,112.219859,
54,0.001011,0.998039,112.309115,
55,0.000506,0.999539,112.290514,
56,0.001312,0.997116,112.363448,
57,0.001055,0.997577,112.280788,
58,0.001043,0.997693,117.378705,
59,0.00113,0.997231,111.875832,
60,0.000445,0.999654,111.915458,
61,0.000296,0.999769,111.962205,
62,0.001197,0.997116,111.991862,
63,0.000646,0.998385,111.976649,
64,0.00116,0.997231,111.980335,
65,0.000984,0.998039,111.950515,
66,0.000442,0.999192,112.000968,
67,0.000339,0.999654,112.008938,
68,0.000553,0.999423,112.014361,
69,0.001592,0.996193,111.977367,
70,0.00074,0.998039,112.025082,
71,0.001019,0.998269,111.924684,
72,0.000362,0.999539,112.012624,
73,0.000322,0.999539,112.021571,
74,0.000855,0.997577,112.057331,
75,0.000622,0.998616,113.299696,
76,0.001021,0.997462,111.898012,
77,0.001148,0.997923,111.858269,
78,0.000781,0.998039,111.934566,
79,0.000237,0.999769,111.875395,
80,0.000915,0.998039,111.891172,
81,0.000275,0.999885,112.360441,best
82,0.000359,0.999885,112.575794,
83,0.000977,0.997923,112.589107,
84,0.000817,0.998385,112.528061,
85,0.00058,0.999192,112.583844,
86,0.000943,0.997693,112.525203,
87,0.000401,0.999423,112.557883,
88,0.000175,0.999769,112.527113,
89,0.000411,0.999192,112.502268,
90,0.001459,0.996193,117.512297,
91,0.000727,0.998269,118.86225,
92,0.000631,0.998385,114.105866,
93,0.00037,0.999308,113.844228,
94,0.000819,0.998385,116.142492,
95,0.000936,0.997577,113.096431,
96,0.000524,0.998846,114.341837,
97,0.000539,0.998962,114.067281,
98,0.000738,0.998616,113.098392,
99,0.000195,0.999769,113.712675,
