split,op_threshold,precision_raw,precision_corrected,precision_band_high,recall_raw,recall_corrected,n_A,n_B,n_U,n_A_suspect,n_incremental
richmond,0.3,0.9017543859649123,0.9192982456140351,0.9298245614035088,0.8290322580645161,0.8317460317460318,5,11,3,0,19
bend,0.3,0.9243986254295533,0.9415807560137457,0.9484536082474226,0.8226299694189603,0.8253012048192772,5,10,2,0,17
clovis,0.3,0.851063829787234,0.8829787234042553,0.898936170212766,0.8205128205128205,0.8258706467661692,6,6,3,1,15
morgantown,0.3,0.8884297520661157,0.9049586776859504,0.9090909090909091,0.8052434456928839,0.8081180811808119,4,17,1,1,22
annapolis,0.3,0.9015151515151515,0.9204545454545454,0.9393939393939394,0.8095238095238095,0.8127090301003345,5,10,5,0,20
paterson,0.3,0.9498327759197325,0.9565217391304348,0.9632107023411371,0.7189873417721518,0.7204030226700252,2,3,2,0,7
gainesville,0.3,0.8571428571428571,0.8857142857142857,0.889795918367347,0.7720588235294118,0.7777777777777778,7,17,1,1,25
budapest_district5,0.3,0.706959706959707,0.7619047619047619,0.7765567765567766,0.6433333333333333,0.6603174603174603,15,39,4,1,58
sao_paulo,0.3,0.8028673835125448,0.8207885304659498,0.8279569892473119,0.797153024911032,0.8006993006993007,5,29,2,0,36
POOLED,0.3,0.9002205071664829,0.9189636163175303,0.9283351708930541,0.7927184466019418,0.7960840496657116,34,74,17,3,125
