split,band,n_gt,recall_high,recall_low,gained
richmond,near (<12.5 m),131,0.8091603053435115,0.8931297709923665,11
richmond,mid (12.5-25 m),126,0.8333333333333334,0.8650793650793651,4
richmond,far (>25 m),50,0.52,0.6,4
bend,near (<12.5 m),150,0.9066666666666666,0.9466666666666667,6
bend,mid (12.5-25 m),149,0.7181208053691275,0.8120805369127517,14
bend,far (>25 m),28,0.14285714285714285,0.21428571428571427,2
clovis,near (<12.5 m),98,0.7857142857142857,0.9081632653061225,12
clovis,mid (12.5-25 m),79,0.6962025316455697,0.810126582278481,9
clovis,far (>25 m),18,0.3888888888888889,0.3888888888888889,0
morgantown,near (<12.5 m),172,0.7674418604651163,0.8255813953488372,10
morgantown,mid (12.5-25 m),80,0.7,0.8,8
morgantown,far (>25 m),15,0.4666666666666667,0.6,2
annapolis,near (<12.5 m),131,0.8702290076335878,0.9236641221374046,7
annapolis,mid (12.5-25 m),110,0.7454545454545455,0.8272727272727273,9
annapolis,far (>25 m),51,0.4117647058823529,0.5098039215686274,5
paterson,near (<12.5 m),160,0.79375,0.8125,3
paterson,mid (12.5-25 m),147,0.7074829931972789,0.7346938775510204,4
paterson,far (>25 m),88,0.4318181818181818,0.5227272727272727,8
gainesville,near (<12.5 m),99,0.7777777777777778,0.8383838383838383,6
gainesville,mid (12.5-25 m),123,0.7398373983739838,0.8617886178861789,15
gainesville,far (>25 m),50,0.3,0.42,6
laurens,near (<12.5 m),180,0.4388888888888889,0.5722222222222222,24
laurens,mid (12.5-25 m),60,0.3,0.4666666666666667,10
laurens,far (>25 m),9,0.0,0.0,0
budapest_district5,near (<12.5 m),150,0.58,0.6933333333333334,17
budapest_district5,mid (12.5-25 m),88,0.4431818181818182,0.6363636363636364,17
budapest_district5,far (>25 m),50,0.48,0.58,5
sao_paulo,near (<12.5 m),149,0.7718120805369127,0.87248322147651,15
sao_paulo,mid (12.5-25 m),108,0.5740740740740741,0.7685185185185185,21
sao_paulo,far (>25 m),23,0.21739130434782608,0.43478260869565216,5
manual_gold,near (<12.5 m),2527,0.9058171745152355,0.9335180055401662,70
manual_gold,mid (12.5-25 m),1275,0.7741176470588236,0.836078431372549,79
manual_gold,far (>25 m),117,0.452991452991453,0.6068376068376068,18
