split,n_gt,gt_best_in_005_010,gt_best_in_010_020,recall_at_0.05,recall_at_0.10,recall_at_0.20,recall_at_0.55,n_at_0.05,n_at_0.10,n_at_0.20,n_at_0.55
richmond,310,8,5,0.9,0.8741935483870967,0.8580645161290322,0.7677419354838709,279,271,266,238
bend,327,8,5,0.8837920489296636,0.8593272171253823,0.8440366972477065,0.7553516819571865,289,281,276,247
clovis,195,6,5,0.9384615384615385,0.9076923076923077,0.882051282051282,0.7128205128205128,183,177,172,139
morgantown,267,7,12,0.8876404494382022,0.8614232209737828,0.8164794007490637,0.7303370786516854,237,230,218,195
annapolis,294,9,10,0.9013605442176871,0.8707482993197279,0.8367346938775511,0.7380952380952381,265,256,246,217
paterson,395,1,9,0.7569620253164557,0.7544303797468355,0.7316455696202532,0.6810126582278481,299,298,289,269
gainesville,272,6,14,0.8897058823529411,0.8676470588235294,0.8161764705882353,0.6727941176470589,242,236,222,183
budapest_district5,300,7,18,0.7566666666666667,0.7333333333333333,0.6733333333333333,0.51,227,220,202,153
manual_gold,3919,19,48,0.920387854044399,0.9155396784894105,0.9032916560347027,0.8494513906608829,3607,3588,3540,3329
POOLED,2060,45,60,0.870873786407767,0.8490291262135923,0.8199029126213592,0.7223300970873786,1794,1749,1689,1488
