split,bin_lo,from_reviewed,from_missed
richmond,0.0,0,8
richmond,0.1,0,5
richmond,0.2,0,9
richmond,0.3,0,7
richmond,0.4,0,8
richmond,0.5,6,4
richmond,0.6,24,1
richmond,0.7,31,0
richmond,0.8,86,0
richmond,0.9,90,0
bend,0.0,0,8
bend,0.1,0,5
bend,0.2,0,7
bend,0.3,0,7
bend,0.4,0,5
bend,0.5,15,6
bend,0.6,27,2
bend,0.7,40,1
bend,0.8,84,0
bend,0.9,82,0
clovis,0.0,0,6
clovis,0.1,0,5
clovis,0.2,0,12
clovis,0.3,0,9
clovis,0.4,0,11
clovis,0.5,8,1
clovis,0.6,22,0
clovis,0.7,36,0
clovis,0.8,49,0
clovis,0.9,24,0
morgantown,0.0,0,7
morgantown,0.1,0,12
morgantown,0.2,0,3
morgantown,0.3,0,7
morgantown,0.4,0,10
morgantown,0.5,9,3
morgantown,0.6,28,0
morgantown,0.7,35,0
morgantown,0.8,66,0
morgantown,0.9,57,0
annapolis,0.0,0,9
annapolis,0.1,0,10
annapolis,0.2,0,8
annapolis,0.3,0,9
annapolis,0.4,0,7
annapolis,0.5,11,7
annapolis,0.6,24,1
annapolis,0.7,35,0
annapolis,0.8,76,0
annapolis,0.9,68,0
paterson,0.0,0,1
paterson,0.1,0,9
paterson,0.2,0,5
paterson,0.3,1,5
paterson,0.4,4,2
paterson,0.5,6,3
paterson,0.6,15,3
paterson,0.7,52,2
paterson,0.8,105,4
paterson,0.9,82,0
gainesville,0.0,0,6
gainesville,0.1,0,14
gainesville,0.2,0,12
gainesville,0.3,0,5
gainesville,0.4,8,7
gainesville,0.5,13,7
gainesville,0.6,31,0
gainesville,0.7,35,2
gainesville,0.8,55,0
gainesville,0.9,47,0
laurens_mapillary,0.0,0,22
laurens_mapillary,0.1,0,21
laurens_mapillary,0.2,0,21
laurens_mapillary,0.3,0,17
laurens_mapillary,0.4,0,16
laurens_mapillary,0.5,9,1
laurens_mapillary,0.6,24,0
laurens_mapillary,0.7,20,0
laurens_mapillary,0.8,34,0
laurens_mapillary,0.9,10,0
budapest_district5,0.0,0,7
budapest_district5,0.1,0,18
budapest_district5,0.2,0,9
budapest_district5,0.3,0,14
budapest_district5,0.4,0,16
budapest_district5,0.5,24,10
budapest_district5,0.6,36,0
budapest_district5,0.7,45,1
budapest_district5,0.8,37,1
budapest_district5,0.9,9,0
sao_paulo,0.0,0,2
sao_paulo,0.1,0,10
sao_paulo,0.2,0,8
sao_paulo,0.3,1,13
sao_paulo,0.4,5,16
sao_paulo,0.5,9,4
sao_paulo,0.6,25,1
sao_paulo,0.7,32,1
sao_paulo,0.8,55,0
sao_paulo,0.9,61,1
