city,visibility,labels,users,rated,tagged,correct,human_validated,first,last,tag_era,pct_tagged_tag_era
dc,private,147937,1269,119890,296,121,131,2015-10-18,2021-01-30,4861,5.4
seattle-wa,public,100834,2290,98051,21839,83281,62652,2019-03-04,2026-09-19,100834,21.7
chicago-il,public,78883,1600,76061,20504,70665,50928,2021-09-02,2026-09-18,78883,26.0
kaohsiung,private,19245,130,18345,6478,15566,12711,2025-03-05,2026-05-17,19245,33.7
columbus-oh,public,18041,314,17559,3956,15611,9873,2019-11-12,2026-03-15,18041,21.9
st-louis-mo,public,15381,100,15108,10909,13089,2758,2024-04-03,2026-09-22,15381,70.9
cdmx,public,13016,397,12582,7984,8409,5980,2019-11-23,2026-09-22,13016,61.3
amsterdam,public,12258,152,12103,6186,7096,5132,2021-12-17,2026-08-20,12258,50.5
paterson-nj,public,11938,57,11803,1183,11415,1757,2025-12-16,2026-09-17,11938,9.9
columbia,private,10126,16,10059,5118,9277,7277,2025-01-07,2026-09-22,10126,50.5
taipei,private,9590,111,9429,5306,8055,8228,2023-02-03,2026-09-01,9590,55.3
pittsburgh-pa,public,9511,307,9251,3555,7898,4962,2020-07-29,2026-06-15,9511,37.4
teaneck-nj,public,7264,123,6892,1026,6995,6063,2023-08-16,2026-09-03,7264,14.1
newberg-or,public,4613,111,4528,2449,4134,3874,2019-01-30,2026-08-20,4613,53.1
burnaby,private,4612,26,4567,3353,4058,2020,2023-07-28,2025-09-11,4612,72.7
gainesville-fl,public,4498,10,4446,1026,3947,265,2026-04-04,2026-09-04,4498,22.8
spgg,public,4185,352,4011,2408,2319,4104,2020-05-26,2026-03-24,4185,57.5
cuenca,private,3885,108,3702,2339,1704,1379,2023-03-27,2023-05-11,3885,60.2
validation-study,private,2467,4,2461,1010,2153,256,2022-05-10,2023-10-31,2467,40.9
zurich,private,2227,70,2136,773,1631,1916,2022-11-04,2025-07-30,2227,34.7
walla-walla,private,2163,55,2103,823,1977,1182,2023-09-25,2026-09-22,2163,38.0
tucson-az,public,2160,31,2107,1169,1910,1441,2025-11-21,2026-09-17,2160,54.1
new-taipei,private,2139,31,2117,1221,1489,1986,2023-08-07,2026-03-09,2139,57.1
mendota-il,public,1976,89,1901,600,1710,1678,2024-09-10,2025-11-24,1976,30.4
zurich-infra3d,private,1911,13,1886,733,199,229,2026-03-09,2026-09-22,1911,38.4
oradell-nj,public,1893,108,1813,727,1765,1785,2022-03-08,2026-09-17,1893,38.4
danville-il,public,1890,13,1860,641,1493,324,2025-01-16,2026-07-06,1890,33.9
auckland,private,1782,16,1736,983,1216,855,2023-02-10,2024-10-04,1782,55.2
knox-oh,public,1198,22,1152,360,1010,947,2024-11-07,2026-06-19,1198,30.1
maywood-nj,public,1158,18,1142,294,1143,633,2025-04-03,2026-09-17,1158,25.4
detroit-mi,public,1070,45,1041,302,971,650,2025-02-03,2026-09-17,1070,28.2
keelung,private,723,18,712,473,293,667,2023-07-28,2024-12-21,723,65.4
niagara-falls-ny,public,542,33,526,136,478,280,2025-06-03,2026-09-17,542,25.1
west-chester,private,534,9,521,309,474,344,2025-01-07,2026-06-18,534,57.9
rancagua-chile,public,483,10,472,365,343,108,2025-09-05,2026-03-17,483,75.6
waltham-ma,public,480,20,470,228,374,212,2026-05-12,2026-09-08,480,47.5
cliffside-park-nj,public,358,18,344,48,332,320,2024-11-20,2026-01-12,358,13.4
madison-wi,public,330,20,327,166,306,182,2025-05-19,2026-07-27,330,50.3
santiago-chile,public,309,13,304,190,215,62,2025-10-22,2026-09-17,309,61.5
fort-wayne-in,public,243,7,240,174,220,110,2026-03-10,2026-08-24,243,71.6
sao-paulo-brazil,public,178,7,176,89,159,56,2026-04-02,2026-09-09,178,50.0
laurens-ia,public,143,1,143,122,0,0,2026-09-17,2026-09-22,143,85.3
hackensack-nj,public,133,13,124,42,71,46,2025-03-25,2026-09-17,133,31.6
chandigarh-india,public,119,17,93,60,22,66,2025-06-06,2026-06-08,119,50.4
richmond-va,public,116,4,116,70,3,3,2026-03-25,2026-09-21,116,60.3
houston-tx,public,107,7,103,42,81,64,2026-07-17,2026-09-17,107,39.3
taichung,private,93,6,91,68,67,38,2024-11-08,2025-01-17,93,73.1
clifton-nj,public,80,14,77,22,70,76,2025-03-07,2026-09-17,80,27.5
la-piedad-old,private,76,15,75,58,14,73,2022-03-08,2023-06-16,76,76.3
la,private,71,7,69,48,69,53,2024-09-13,2026-01-30,71,67.6
blackhawk-hills-il,public,65,10,65,35,51,53,2024-11-21,2026-01-17,65,53.8
virden-il,public,51,6,34,25,40,51,2026-04-02,2026-04-30,51,49.0
newport-ky,public,47,3,47,30,31,2,2026-08-27,2026-09-01,47,63.8
la-piedad,public,45,8,45,39,11,13,2024-12-10,2026-05-30,45,86.7
winterthur-infra3d,private,42,4,41,9,10,10,2026-09-18,2026-09-22,42,21.4
tainan,private,35,4,34,18,27,25,2025-06-13,2025-11-28,35,51.4
vancouver-wa,public,33,8,29,15,7,1,2026-02-11,2026-08-20,33,45.5
bayonne-fr,public,6,1,5,2,0,0,2026-09-19,2026-09-19,6,33.3
