label_type,source,edits,labels,cities,users,tags_changed,from_empty,tags_added,tags_removed,severity_changed,type_changed,first,last
Crosswalk,ExpertValidate,156,155,13,6,120,98,126,3,98,0,2024-07-02,2026-05-14
Crosswalk,Explore,35,31,11,24,22,20,30,0,32,0,2025-03-05,2026-07-29
Crosswalk,ExternalTagValidationASSETS2024,605,605,7,3,605,360,778,79,0,0,2024-09-03,2024-09-03
Crosswalk,SidewalkAI,100,100,12,1,32,0,0,36,92,0,2025-08-25,2026-08-24
Crosswalk,UserDashboard,1,1,1,1,0,0,0,0,1,0,2026-09-07,2026-09-07
Crosswalk,Validate,9,9,4,8,5,0,0,6,8,0,2024-10-24,2026-08-20
Crosswalk,ValidateMobile,2,2,2,2,1,0,0,1,1,0,2025-10-20,2026-04-30
CurbRamp,ExpertValidate,827,805,22,10,661,390,799,70,441,0,2024-06-29,2026-09-22
CurbRamp,Explore,81,66,17,51,45,40,69,2,69,0,2024-10-15,2026-07-14
CurbRamp,ExternalTagValidationASSETS2024,4429,4245,10,5,4429,2042,4536,1581,0,0,2024-09-03,2024-09-03
CurbRamp,GalleryExpanded,1,1,1,1,0,0,0,0,1,0,2026-09-22,2026-09-22
CurbRamp,SidewalkAI,230,230,18,1,65,0,0,88,208,0,2025-08-17,2026-09-12
CurbRamp,Validate,48,45,12,47,21,1,1,30,39,0,2024-10-15,2026-08-13
CurbRamp,ValidateMobile,2,2,2,2,0,0,0,0,2,0,2026-03-15,2026-04-30
NoCurbRamp,ExpertValidate,252,251,17,10,175,145,172,24,135,0,2024-06-29,2026-06-09
NoCurbRamp,Explore,18,15,6,12,14,13,14,0,17,0,2025-10-11,2026-09-12
NoCurbRamp,SidewalkAI,24,24,7,1,21,0,1,20,22,0,2025-08-13,2026-09-12
NoCurbRamp,Validate,17,16,6,17,10,1,1,10,13,0,2024-10-04,2026-03-02
NoCurbRamp,ValidateMobile,1,1,1,1,1,0,0,1,1,0,2025-04-22,2025-04-22
NoSidewalk,Explore,1,1,1,1,1,1,1,0,0,0,2024-10-01,2024-10-01
NoSidewalk,Validate,2,1,1,2,2,0,0,2,0,0,2024-10-01,2024-10-01
NoSidewalk,ValidateMobile,2,2,1,1,2,0,0,2,0,0,2026-04-30,2026-04-30
Obstacle,ExpertValidate,150,150,17,8,80,33,79,16,97,0,2024-07-02,2026-06-09
Obstacle,ExternalTagValidationASSETS2024,1473,1453,10,3,1473,306,1721,120,0,0,2024-09-03,2024-09-03
Obstacle,LabelMap,3,3,1,1,2,2,2,0,1,0,2025-01-14,2025-01-14
Obstacle,Validate,10,10,6,8,6,0,0,7,7,0,2025-02-13,2026-06-03
Obstacle,ValidateMobile,7,4,2,5,4,1,1,3,5,0,2026-03-09,2026-04-30
Signal,ExpertValidate,29,29,3,2,29,12,29,1,0,0,2024-11-07,2025-07-18
Signal,GalleryImage,1,1,1,1,1,0,0,1,0,0,2025-05-22,2025-05-22
Signal,Validate,6,6,2,2,6,0,0,7,0,0,2024-07-10,2026-08-13
SurfaceProblem,ExpertValidate,394,392,19,8,292,85,412,64,206,0,2024-06-29,2026-07-17
SurfaceProblem,Explore,62,51,14,35,51,43,89,2,56,0,2025-10-19,2026-09-07
SurfaceProblem,ExternalTagValidationASSETS2024,4327,4168,9,4,4327,538,4276,2351,0,0,2024-09-03,2024-09-03
SurfaceProblem,SidewalkAI,95,94,16,1,79,0,0,133,74,0,2025-08-19,2026-09-07
SurfaceProblem,Validate,15,14,10,15,9,1,1,11,11,0,2025-02-13,2026-06-03
SurfaceProblem,ValidateMobile,13,10,1,6,10,1,1,16,10,0,2026-04-30,2026-04-30
