city,n_tags,excluded
amsterdam,7,"missing tactile warning, not aligned with crosswalk, not visible, parallel lines, points into traffic"
auckland,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
bayonne-fr,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
blackhawk-hills-il,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
burnaby,9,"not aligned with crosswalk, not visible, tactile warning"
cdmx,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
chandigarh-india,3,"missing tactile warning, narrow, not aligned with crosswalk, not enough landing space, parallel lines, points into traffic, steep, surface problem, tactile warning"
chicago-il,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
cliffside-park-nj,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
clifton-nj,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
columbia,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
columbus-oh,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
cuenca,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
danville-il,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
dc,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
detroit-mi,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
fort-wayne-in,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
gainesville-fl,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
hackensack-nj,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
houston-tx,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
kaohsiung,9,"not visible, parallel lines, tactile warning"
keelung,9,"not visible, parallel lines, tactile warning"
knox-oh,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
la,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
la-piedad,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
la-piedad-old,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
laurens-ia,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
madison-wi,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
maywood-nj,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
mendota-il,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
new-taipei,9,"not visible, parallel lines, tactile warning"
newberg-or,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
newport-ky,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
niagara-falls-ny,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
oradell-nj,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
paterson-nj,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
pittsburgh-pa,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
rancagua-chile,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
richmond-va,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
santiago-chile,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
sao-paulo-brazil,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
seattle-wa,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
spgg,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
st-louis-mo,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
taichung,9,"not visible, parallel lines, tactile warning"
tainan,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
taipei,9,"not visible, parallel lines, tactile warning"
teaneck-nj,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
tucson-az,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
validation-study,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
vancouver-wa,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
virden-il,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
walla-walla,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
waltham-ma,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
west-chester,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
winterthur-infra3d,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
zurich,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
zurich-infra3d,8,"not aligned with crosswalk, not visible, parallel lines, tactile warning"
