rater,year,labels,cities,pct_any_tag,pct_rated,missing tactile warning,points into traffic,not level with street,narrow,steep,not enough landing space,surface problem
jonfroehlich,2018,17,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jonfroehlich,2019,1565,3,48.3,99.6,35.0,16.0,0.2,5.0,0.0,6.5,0.6
jonfroehlich,2020,78,3,60.3,98.7,57.7,9.0,1.3,26.9,6.4,10.3,6.4
jonfroehlich,2021,71,3,38.0,100.0,29.6,15.5,7.0,9.9,7.0,1.4,5.6
jonfroehlich,2022,943,7,44.6,99.9,26.1,9.9,10.1,5.9,0.7,5.1,10.1
jonfroehlich,2023,430,9,54.4,99.8,47.2,6.3,5.6,4.0,4.9,7.4,6.5
jonfroehlich,2024,470,8,51.1,99.8,31.3,13.4,8.5,7.4,4.0,15.3,1.1
jonfroehlich,2025,221,13,82.4,96.4,62.4,44.8,9.5,15.8,7.2,17.2,16.3
jonfroehlich,2026,443,15,68.6,99.1,33.9,15.6,9.3,25.5,3.4,5.0,14.9
mikey,2018,116,1,8.6,100.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0
mikey,2019,490,4,44.3,99.8,35.1,11.0,0.8,4.7,0.0,3.9,1.4
mikey,2020,607,6,30.0,100.0,13.8,3.6,0.5,4.8,1.2,2.6,13.7
mikey,2021,906,8,24.9,99.9,15.2,3.8,0.9,3.4,0.3,2.1,3.9
mikey,2022,360,8,24.4,99.4,13.9,3.1,0.0,1.9,0.3,3.3,8.6
mikey,2023,982,10,18.7,100.0,9.7,3.8,0.7,1.3,0.0,1.4,6.0
mikey,2024,124,11,44.4,99.2,35.5,16.1,0.0,3.2,0.0,4.0,5.6
mikey,2025,82,14,35.4,97.6,29.3,13.4,1.2,1.2,0.0,1.2,8.5
mikey,2026,158,12,47.5,97.5,26.6,15.2,3.2,0.6,0.0,2.5,10.8
