city,human_validations,expert_validations,expert_labels,expert_users,expert_agree,assets2024_validations,assets2024_labels
chicago-il,84446,1309,1161,7,1302,1882,1882
mendota-il,8971,320,318,2,303,0,0
seattle-wa,92109,185,184,3,161,2612,2612
columbia,11442,118,118,2,115,0,0
teaneck-nj,13896,116,116,2,114,0,0
dc,140,90,90,1,80,0,0
fort-wayne-in,126,60,60,1,60,0,0
paterson-nj,1937,59,59,1,58,0,0
burnaby,2515,59,59,2,58,0,0
tucson-az,2232,50,50,1,47,0,0
st-louis-mo,3502,49,49,1,49,0,0
danville-il,390,37,36,2,35,0,0
maywood-nj,1096,31,31,1,30,0,0
detroit-mi,1040,30,30,1,30,0,0
laurens-ia,1120,20,20,1,18,0,0
gainesville-fl,305,20,20,2,18,0,0
walla-walla,2829,10,10,1,9,135,135
knox-oh,1768,10,10,1,10,0,0
cdmx,8843,10,10,1,9,526,526
la,111,8,8,1,8,0,0
waltham-ma,351,7,7,1,7,0,0
west-chester,445,6,6,1,6,0,0
columbus-oh,13464,0,0,0,0,1596,1596
amsterdam,11002,0,0,0,0,33,33
newberg-or,5972,0,0,0,0,1235,1235
oradell-nj,5765,0,0,0,0,1068,1068
pittsburgh-pa,7214,0,0,0,0,766,766
spgg,13536,0,0,0,0,503,503
