tier,labels,users,cities,rated,tagged,correct,tagged_and_correct,human_net_agree_ge2,tag_era,tagged_tag_era,with_server_crop
tier 1: every human label,505293,7790,58,467125,118434,296075,89546,68460,361863,118293,196556
tier 2: crowd-validated correct (correct == true),296075,6041,56,288617,89546,296075,89546,68460,295668,89431,168791
tier 2b: human net Agree >= 2,68460,3871,51,66891,24091,68460,24091,68460,68401,24067,38682
tier 3: placed by an Owner,19186,2,49,17146,3278,7049,2808,2973,8052,3275,1562
    jonfroehlich,12147,1,38,10302,2212,3802,1899,1952,4234,2210,1197
    mikey,7039,1,44,6844,1066,3247,909,1021,3818,1065,365
tier 3v: Agree-validated by an Owner,22267,2143,41,21668,10600,21675,10206,12976,22122,10556,6180
tier 3+: placed by Owner or Administrator,45958,63,54,40265,9872,27223,8592,9355,29951,9860,18443
tier 3v+: Agree-validated by Owner or Administrator,50274,2737,46,49214,19557,48818,18702,26740,50101,19506,25563
"tier 3++: placed by Owner, Administrator or Researcher",49451,100,54,42646,10348,28204,8952,9930,31123,10335,18443
