city,pano_id,key,kind,arm,prompt,projection,fov,variant,pano_w,pano_h,view_px,prompt_x,prompt_y,gold_cx,gold_cy,gold_w,gold_h,sam_cx,sam_cy,sam_w,sam_h,iou,gold_frac_covered,mask_frac_in_gold,pred_iou,mask_px,mask_touches_edge,depression_deg,band
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,60,pt_multi,8000,4000,1333,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.4105,0.552,0.12925,0.034,0.34252,1.0,0.37818,0.93359,70278,1,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,60,pt_single,8000,4000,1333,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.4105,0.552,0.12925,0.034,0.34252,1.0,0.37818,0.93359,70278,1,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,60,ptbox_multi,8000,4000,1333,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.42944,0.55137,0.02637,0.00825,0.14456,0.14456,1.0,0.70312,2262,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,60,ptbox_single,8000,4000,1333,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.42944,0.55137,0.02637,0.00825,0.14456,0.14456,1.0,0.70312,2262,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,76,pt_multi,8000,4000,1689,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.40169,0.55075,0.14563,0.0365,0.28318,1.0,0.34918,0.88672,75940,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,76,pt_single,8000,4000,1689,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.40169,0.55075,0.14563,0.0365,0.28318,1.0,0.34918,0.88672,75940,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,76,ptbox_multi,8000,4000,1689,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43181,0.55475,0.02937,0.0135,0.26346,0.26346,1.0,0.67969,6443,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,76,ptbox_single,8000,4000,1689,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43044,0.55163,0.03163,0.01075,0.22586,0.22586,1.0,0.71875,2400,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,90,pt_multi,8000,4000,2000,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.435,0.55488,0.023,0.01325,0.20247,0.20247,1.0,0.56641,5717,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,90,pt_single,8000,4000,2000,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.435,0.55488,0.023,0.01325,0.20247,0.20247,1.0,0.56641,5717,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,90,ptbox_multi,8000,4000,2000,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43075,0.55463,0.03175,0.01375,0.29004,0.29004,1.0,0.8125,7078,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_equirect,boxcenter,equirect,90,ptbox_single,8000,4000,2000,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43106,0.5545,0.03087,0.0135,0.27692,0.27692,1.0,0.74609,3877,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,pt_multi,8000,4000,1333,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.40956,0.552,0.12986,0.03438,0.33716,1.0,0.34065,0.89062,63108,1,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,pt_single,8000,4000,1333,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.40956,0.552,0.12986,0.03438,0.33716,1.0,0.34065,0.89062,63108,1,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,ptbox_multi,8000,4000,1333,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43087,0.55104,0.02929,0.00895,0.17416,0.17416,1.0,0.6875,1930,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,ptbox_single,8000,4000,1333,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43206,0.55147,0.02833,0.0092,0.17308,0.17308,1.0,0.72656,1784,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,pt_multi,8000,4000,1689,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.4017,0.55037,0.1446,0.03691,0.28206,1.0,0.30034,0.68359,62187,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,pt_single,8000,4000,1689,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.4017,0.55037,0.1446,0.03691,0.28206,1.0,0.30034,0.68359,62187,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,ptbox_multi,8000,4000,1689,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.4306,0.5547,0.03177,0.01392,0.29385,0.29385,1.0,0.83203,5319,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,ptbox_single,8000,4000,1689,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43099,0.55455,0.03099,0.01363,0.28053,0.28053,1.0,0.77344,3411,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,90,pt_multi,8000,4000,2000,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43549,0.55491,0.02271,0.01345,0.20302,0.20302,1.0,0.82031,3402,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,90,pt_single,8000,4000,2000,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43549,0.55491,0.02271,0.01345,0.20302,0.20302,1.0,0.82031,3402,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,90,ptbox_multi,8000,4000,2000,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43151,0.55544,0.03162,0.01579,0.33165,0.33165,1.0,0.86328,4480,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,90,ptbox_single,8000,4000,2000,0.42914,0.55209,0.42914,0.55209,0.05745,0.0262,0.43186,0.55428,0.03029,0.01345,0.27062,0.27062,1.0,0.84375,3742,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,point_equirect,point,equirect,60,pt_multi,8000,4000,1333,0.43359,0.55469,0.42914,0.55209,0.05745,0.0262,0.4355,0.55588,0.02175,0.01125,0.16256,0.16256,1.0,0.89062,4361,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,point_equirect,point,equirect,60,pt_single,8000,4000,1333,0.43359,0.55469,0.42914,0.55209,0.05745,0.0262,0.4355,0.55575,0.022,0.0115,0.16809,0.16809,1.0,0.83203,4521,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,point_equirect,point,equirect,60,ptbox_multi,8000,4000,1333,0.43359,0.55469,0.42914,0.55209,0.05745,0.0262,0.43462,0.55512,0.0245,0.01325,0.21567,0.21567,1.0,0.91406,5460,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,point_equirect,point,equirect,60,ptbox_single,8000,4000,1333,0.43359,0.55469,0.42914,0.55209,0.05745,0.0262,0.43519,0.556,0.02287,0.011,0.16717,0.16717,1.0,0.91406,4533,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,point_equirect,point,equirect,76,pt_multi,8000,4000,1689,0.43359,0.55469,0.42914,0.55209,0.05745,0.0262,0.43556,0.556,0.02162,0.011,0.15804,0.15804,1.0,0.89844,4507,0,9.3762,9-18 m
annapolis,1005430537402761,det:0,det,point_equirect,point,equirect,76,pt_single,8000,4000,1689,0.43359,0.55469,0.42914,0.55209,0.05745,0.0262,0.4355,0.556,0.02175,0.0115,0.16618,0.16618,1.0,0.84766,4571,0,9.3762,9-18 m
