city,pano_id,key,kind,arm,prompt,projection,fov,variant,pano_w,pano_h,view_px,prompt_x,prompt_y,gold_cx,gold_cy,gold_w,gold_h,sam_cx,sam_cy,sam_w,sam_h,iou,gold_frac_covered,mask_frac_in_gold,pred_iou,mask_px,mask_touches_edge,depression_deg,band
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,60,pt_multi,16384,8192,2731,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.9053,0.57959,0.06024,0.03369,0.19956,0.86,0.35202,0.6875,114514,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,60,pt_single,16384,8192,2731,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.9053,0.57959,0.06024,0.03369,0.19956,0.86,0.35202,0.6875,114514,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,60,ptbox_multi,16384,8192,2731,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.91824,0.58124,0.0639,0.0321,0.23726,1.0,0.44265,0.75391,102605,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,60,ptbox_single,16384,8192,2731,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.91824,0.58124,0.0639,0.0321,0.23726,1.0,0.44265,0.75391,102605,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,76,pt_multi,16384,8192,3459,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.90726,0.57953,0.05524,0.03357,0.2095,0.83302,0.36806,0.82031,108429,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,76,pt_single,16384,8192,3459,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.90726,0.57953,0.05524,0.03357,0.2095,0.83302,0.36806,0.82031,108429,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,76,ptbox_multi,16384,8192,3459,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.91632,0.58185,0.04138,0.03162,0.35374,0.96364,0.44005,0.82422,101192,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,76,ptbox_single,16384,8192,3459,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.92065,0.58154,0.0426,0.03003,0.36156,0.96345,0.55307,0.73438,74961,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,90,pt_multi,16384,8192,4096,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.86838,0.61792,0.13531,0.12109,0.02737,0.92343,0.04578,0.85547,1040852,1,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,90,pt_single,16384,8192,4096,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.8681,0.61761,0.13477,0.11902,0.02726,0.90082,0.04922,0.8125,924989,1,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,90,ptbox_multi,16384,8192,4096,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.91788,0.58185,0.06366,0.03137,0.24373,1.0,0.43454,0.75781,107737,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_equirect,boxcenter,equirect,90,ptbox_single,16384,8192,4096,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.92062,0.58319,0.04169,0.02649,0.41423,0.95736,0.6504,0.60547,62088,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,pt_multi,16384,8192,2731,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.90555,0.58082,0.05907,0.03114,0.21477,0.84496,0.37347,0.80859,85298,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,pt_single,16384,8192,2731,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.90555,0.58082,0.05907,0.03114,0.21477,0.84496,0.37347,0.80859,85298,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,ptbox_multi,16384,8192,2731,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.91399,0.58309,0.05281,0.03543,0.26016,1.0,0.40753,0.78906,91016,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,ptbox_single,16384,8192,2731,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.91849,0.58129,0.04383,0.03099,0.34614,0.9747,0.46148,0.78906,73333,0,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,pt_multi,16384,8192,3459,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.87134,0.61661,0.12955,0.11908,0.02917,0.92651,0.03779,0.51172,878970,1,15.7086,5-9 m
paterson,0-zmUwLwl5ENJgqxheDklQ,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,pt_single,16384,8192,3459,0.92575,0.58727,0.92575,0.58727,0.02429,0.02004,0.87134,0.61661,0.12955,0.11908,0.02917,0.92651,0.03779,0.51172,878970,1,15.7086,5-9 m
