city,pano_id,key,kind,arm,prompt,projection,fov,variant,pano_w,pano_h,view_px,prompt_x,prompt_y,gold_cx,gold_cy,gold_w,gold_h,sam_cx,sam_cy,sam_w,sam_h,iou,gold_frac_covered,mask_frac_in_gold,pred_iou,mask_px,mask_touches_edge,depression_deg,band
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,60,pt_multi,12288,6144,2048,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43172,0.51074,0.01074,0.00423,0.30468,0.30468,1.0,0.84375,2260,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,60,pt_single,12288,6144,2048,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43164,0.51066,0.01074,0.00439,0.3164,0.3164,1.0,0.75781,2389,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,60,ptbox_multi,12288,6144,2048,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43172,0.5105,0.00863,0.00342,0.19762,0.19762,1.0,0.69531,1320,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,60,ptbox_single,12288,6144,2048,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43172,0.5105,0.00863,0.00342,0.19762,0.19762,1.0,0.69531,1320,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,76,pt_multi,12288,6144,2594,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.4316,0.51066,0.0105,0.00407,0.2863,0.2863,1.0,0.90625,1987,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,76,pt_single,12288,6144,2594,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43156,0.51066,0.01042,0.00407,0.28409,0.28409,1.0,0.90625,2087,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,76,ptbox_multi,12288,6144,2594,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43156,0.51042,0.00977,0.00326,0.21306,0.21306,1.0,0.71484,1612,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,76,ptbox_single,12288,6144,2594,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43213,0.50968,0.00505,0.00146,0.04954,0.04954,1.0,0.55469,248,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,90,pt_multi,12288,6144,3072,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43164,0.51066,0.01025,0.00374,0.25727,0.25727,1.0,0.88672,1918,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,90,pt_single,12288,6144,3072,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.4316,0.51058,0.01034,0.00391,0.27059,0.27059,1.0,0.89844,1980,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,90,ptbox_multi,12288,6144,3072,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43164,0.5105,0.00977,0.00342,0.22372,0.22372,1.0,0.68359,1709,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_equirect,boxcenter,equirect,90,ptbox_single,12288,6144,3072,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43115,0.51017,0.00488,0.00179,0.05859,0.05859,1.0,0.54297,353,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,pt_multi,12288,6144,2048,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43163,0.51074,0.01059,0.00449,0.30682,0.30955,0.99791,0.875,1918,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,pt_single,12288,6144,2048,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43163,0.51074,0.01059,0.00449,0.30681,0.30956,0.99062,0.8125,2026,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,ptbox_multi,12288,6144,2048,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43154,0.51056,0.00916,0.00341,0.20933,0.20933,1.0,0.68359,1305,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,60,ptbox_single,12288,6144,2048,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43154,0.50958,0.00323,0.00108,0.02333,0.02333,1.0,0.57031,142,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,pt_multi,12288,6144,2594,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43167,0.51068,0.01026,0.00402,0.27679,0.27679,1.0,0.89062,1454,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,pt_single,12288,6144,2594,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43162,0.51068,0.01017,0.00403,0.27432,0.27432,1.0,0.90234,1495,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,ptbox_multi,12288,6144,2594,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43162,0.51058,0.00978,0.00345,0.22613,0.22613,1.0,0.69531,1269,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,76,ptbox_single,12288,6144,2594,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43114,0.51011,0.0048,0.00173,0.05546,0.05546,1.0,0.54688,257,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,90,pt_multi,12288,6144,3072,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43187,0.51072,0.01047,0.00415,0.29086,0.29086,1.0,0.82422,1354,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,90,pt_single,12288,6144,3072,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43187,0.51083,0.01005,0.00394,0.26533,0.26533,1.0,0.83984,1199,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,90,ptbox_multi,12288,6144,3072,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43188,0.51083,0.00964,0.00352,0.22764,0.22764,1.0,0.70312,1031,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,boxcenter_gnomonic,boxcenter,gnomonic,90,ptbox_single,12288,6144,3072,0.43172,0.50886,0.43172,0.50886,0.01865,0.008,0.43213,0.51052,0.00808,0.00166,0.08988,0.08988,1.0,0.64453,339,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,60,pt_multi,12288,6144,2048,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.40751,0.50326,0.10067,0.02214,0.06696,1.0,0.16822,0.66797,56895,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,60,pt_single,12288,6144,2048,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.40751,0.50326,0.10067,0.02214,0.06696,1.0,0.16822,0.66797,56895,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,60,ptbox_multi,12288,6144,2048,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43327,0.50993,0.00635,0.00358,0.15234,0.15234,1.0,0.57422,1119,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,60,ptbox_single,12288,6144,2048,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43225,0.50838,8e-05,0.00016,9e-05,9e-05,1.0,0.39258,1,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,76,pt_multi,12288,6144,2594,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.4137,0.5861,0.12964,0.25098,0.00459,1.0,0.15262,0.64062,61107,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,76,pt_single,12288,6144,2594,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.4137,0.5861,0.12964,0.25098,0.00459,1.0,0.15262,0.64062,61107,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,76,ptbox_multi,12288,6144,2594,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43311,0.51017,0.00716,0.00374,0.17968,0.17968,1.0,0.5625,1016,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,76,ptbox_single,12288,6144,2594,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,,,,,0.0,0.0,,0.39844,0,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,90,pt_multi,12288,6144,3072,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43164,0.5105,0.01058,0.00407,0.28852,0.28852,1.0,0.52734,2124,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,90,pt_single,12288,6144,3072,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.4316,0.5105,0.0105,0.00374,0.2634,0.2634,1.0,0.50781,1878,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,90,ptbox_multi,12288,6144,3072,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.4316,0.50993,0.00903,0.00326,0.19708,0.19708,1.0,0.53125,994,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_equirect,point,equirect,90,ptbox_single,12288,6144,3072,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43408,0.50879,0.00033,0.00033,0.00071,0.00071,1.0,0.42969,5,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,60,pt_multi,12288,6144,2048,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.40735,0.50322,0.10054,0.02227,0.06665,1.0,0.15661,0.66797,49205,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,60,pt_single,12288,6144,2048,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.40735,0.50322,0.10054,0.02227,0.06665,1.0,0.15661,0.66797,49205,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,60,ptbox_multi,12288,6144,2048,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43316,0.50996,0.00664,0.00359,0.15981,0.15981,1.0,0.5625,1000,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,60,ptbox_single,12288,6144,2048,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,,,,,0.0,0.0,,0.35938,0,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,76,pt_multi,12288,6144,2594,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43166,0.51059,0.01074,0.00441,0.31717,0.31717,1.0,0.5625,1638,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,76,pt_single,12288,6144,2594,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43161,0.51049,0.01045,0.00383,0.26848,0.26848,1.0,0.53906,1420,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,76,ptbox_multi,12288,6144,2594,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43161,0.50992,0.00911,0.00345,0.21074,0.21074,1.0,0.53125,771,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,76,ptbox_single,12288,6144,2594,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43406,0.50877,0.00038,0.00038,0.00099,0.00099,1.0,0.41992,6,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,90,pt_multi,12288,6144,3072,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43143,0.51071,0.01005,0.00373,0.25105,0.25105,1.0,0.78516,1211,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,90,pt_single,12288,6144,3072,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43148,0.51071,0.01016,0.00373,0.25373,0.25373,1.0,0.78906,1263,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,90,ptbox_multi,12288,6144,3072,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43153,0.5103,0.00964,0.00332,0.21425,0.21425,1.0,0.63281,840,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:0,det,point_gnomonic,point,gnomonic,90,ptbox_single,12288,6144,3072,0.43262,0.50781,0.43172,0.50886,0.01865,0.008,0.43355,0.50947,0.00435,0.00124,0.03632,0.03632,1.0,0.5,185,0,1.5948,>36 m / horizon
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,60,pt_multi,12288,6144,2048,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.7192,0.58415,0.01424,0.01107,0.25291,0.25291,1.0,0.94531,7923,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,60,pt_single,12288,6144,2048,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.71928,0.58415,0.01392,0.01107,0.24713,0.24713,1.0,0.92188,7829,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,60,ptbox_multi,12288,6144,2048,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.71676,0.57821,0.04093,0.02783,0.50134,0.94436,0.75298,0.60938,11141,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,60,ptbox_single,12288,6144,2048,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.71676,0.57821,0.04093,0.02783,0.50134,0.94436,0.75298,0.60938,11141,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,76,pt_multi,12288,6144,2594,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.71936,0.58407,0.01392,0.0109,0.2435,0.2435,1.0,0.94141,7758,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,76,pt_single,12288,6144,2594,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.71944,0.58398,0.01359,0.01074,0.23425,0.23425,1.0,0.91016,7468,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,76,ptbox_multi,12288,6144,2594,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.71903,0.58171,0.03882,0.02083,0.56485,0.82935,0.80364,0.73828,11041,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,76,ptbox_single,12288,6144,2594,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.71903,0.58171,0.03882,0.02083,0.56485,0.82935,0.80364,0.73828,11041,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,90,pt_multi,12288,6144,3072,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.71916,0.58431,0.01335,0.01139,0.24398,0.24398,1.0,0.94141,7811,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,90,pt_single,12288,6144,3072,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.71928,0.58407,0.0131,0.01123,0.2361,0.2361,1.0,0.90234,7620,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,90,ptbox_multi,12288,6144,3072,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.7218,0.58374,0.04403,0.02848,0.46514,0.95626,0.62127,0.73047,37848,0,14.5728,9-18 m
richmond,1002881108606016,det:1,det,boxcenter_equirect,boxcenter,equirect,90,ptbox_single,12288,6144,3072,0.72058,0.58096,0.72058,0.58096,0.02481,0.02512,0.72408,0.58748,0.03947,0.01937,0.39094,0.62582,0.6943,0.72266,25057,0,14.5728,9-18 m
