confidence_threshold,precision,recall
0.000,0.022162,0.937484
0.005,0.348482,0.937229
0.010,0.570740,0.936719
0.015,0.634383,0.935953
0.020,0.674141,0.935953
0.025,0.701070,0.935953
0.030,0.722365,0.935443
0.035,0.736980,0.935188
0.040,0.751334,0.934422
0.045,0.764092,0.933912
0.050,0.775000,0.933401
0.055,0.782032,0.932891
0.060,0.788644,0.932126
0.065,0.794816,0.931105
0.070,0.801802,0.931105
0.075,0.808784,0.930339
0.080,0.814203,0.930339
0.085,0.818692,0.929829
0.090,0.821791,0.929574
0.095,0.825811,0.929064
0.100,0.830973,0.928298
0.105,0.834711,0.927788
0.110,0.839529,0.927788
0.115,0.843046,0.926512
0.120,0.846351,0.926257
0.125,0.848620,0.925491
0.130,0.852139,0.924981
0.135,0.854314,0.924726
0.140,0.857312,0.924471
0.145,0.859483,0.923960
0.150,0.862077,0.923450
0.155,0.864484,0.922940
0.160,0.867322,0.922429
0.165,0.869136,0.921919
0.170,0.872042,0.921664
0.175,0.874092,0.921153
0.180,0.875911,0.920388
0.185,0.878899,0.920388
0.190,0.882065,0.919878
0.195,0.883926,0.919112
0.200,0.885637,0.918857
0.205,0.887602,0.918857
0.210,0.888259,0.918857
0.215,0.890842,0.918347
0.220,0.892388,0.918347
0.225,0.894384,0.918347
0.230,0.895916,0.918091
0.235,0.897628,0.917326
0.240,0.898500,0.917071
0.245,0.899825,0.916816
0.250,0.901606,0.916560
0.255,0.902212,0.915795
0.260,0.903478,0.914774
0.265,0.904365,0.914519
0.270,0.905508,0.914519
0.275,0.905918,0.914009
0.280,0.906606,0.914009
0.285,0.907731,0.913754
0.290,0.908606,0.913243
0.295,0.909507,0.912988
0.300,0.910896,0.912988
0.305,0.911967,0.911967
0.310,0.913767,0.911202
0.315,0.916111,0.911202
0.320,0.917759,0.911202
0.325,0.918105,0.909671
0.330,0.919010,0.909161
0.335,0.919876,0.908140
0.340,0.920549,0.907629
0.345,0.920984,0.907119
0.350,0.921660,0.906609
0.355,0.922557,0.905843
0.360,0.923457,0.905078
0.365,0.924641,0.904823
0.370,0.925829,0.904567
0.375,0.927021,0.904312
0.380,0.929396,0.903547
0.385,0.929585,0.902781
0.390,0.931698,0.901505
0.395,0.931890,0.900740
0.400,0.933351,0.900485
0.405,0.933792,0.899719
0.410,0.934448,0.898443
0.415,0.935407,0.897933
0.420,0.936335,0.896912
0.425,0.937300,0.896402
0.430,0.938470,0.895126
0.435,0.938907,0.894106
0.440,0.939850,0.893085
0.445,0.940559,0.892319
0.450,0.940733,0.891044
0.455,0.941716,0.890533
0.460,0.941923,0.889768
0.465,0.943166,0.889257
0.470,0.943933,0.889257
0.475,0.944685,0.889002
0.480,0.945139,0.887982
0.485,0.945895,0.887726
0.490,0.946307,0.885940
0.495,0.947570,0.885430
0.500,0.948550,0.884409
0.505,0.949287,0.883644
0.510,0.949437,0.881602
0.515,0.949917,0.880837
0.520,0.950124,0.879816
0.525,0.951118,0.878796
0.530,0.952355,0.877265
0.535,0.952262,0.875478
0.540,0.952964,0.873692
0.545,0.953469,0.873182
0.550,0.954469,0.871906
0.555,0.956035,0.871141
0.560,0.956266,0.870375
0.565,0.956204,0.869099
0.570,0.957746,0.867568
0.575,0.958227,0.866292
0.580,0.960351,0.865272
0.585,0.961375,0.863741
0.590,0.962667,0.861955
0.595,0.964021,0.861444
0.600,0.964797,0.860168
0.605,0.966082,0.857617
0.610,0.966551,0.855320
0.615,0.967100,0.855065
0.620,0.968433,0.853279
0.625,0.968687,0.852513
0.630,0.969168,0.850217
0.635,0.969688,0.848941
0.640,0.970485,0.847410
0.645,0.970743,0.846645
0.650,0.971546,0.845114
0.655,0.972353,0.843583
0.660,0.973443,0.841796
0.665,0.973972,0.840265
0.670,0.974207,0.838479
0.675,0.974435,0.836438
0.680,0.974970,0.834907
0.685,0.974910,0.832866
0.690,0.975442,0.831079
0.695,0.976863,0.829548
0.700,0.977396,0.827507
0.705,0.977932,0.825466
0.710,0.978155,0.822659
0.715,0.978989,0.820362
0.720,0.979230,0.818066
0.725,0.979486,0.816280
0.730,0.979692,0.812452
0.735,0.980186,0.807859
0.740,0.980435,0.805563
0.745,0.981580,0.802245
0.750,0.982451,0.799949
0.755,0.982628,0.793825
0.760,0.982584,0.791784
0.765,0.983121,0.787701
0.770,0.983659,0.783363
0.775,0.983892,0.779280
0.780,0.983750,0.772391
0.785,0.983992,0.768563
0.790,0.984200,0.762950
0.795,0.984432,0.758357
0.800,0.984682,0.754529
0.805,0.985240,0.749426
0.810,0.985792,0.743557
0.815,0.986973,0.734626
0.820,0.988260,0.730288
0.825,0.988846,0.723909
0.830,0.988752,0.717785
0.835,0.988636,0.710385
0.840,0.989201,0.701199
0.845,0.990528,0.693799
0.850,0.990399,0.684358
0.855,0.990633,0.674662
0.860,0.990899,0.666752
0.865,0.990766,0.657055
0.870,0.991339,0.642511
0.875,0.991961,0.629752
0.880,0.991823,0.619035
0.885,0.992047,0.604746
0.890,0.992221,0.585864
0.895,0.991979,0.568002
0.900,0.991651,0.545547
0.905,0.991271,0.521562
0.910,0.991313,0.495024
0.915,0.990928,0.473845
0.920,0.991482,0.445522
0.925,0.992225,0.423322
0.930,0.992931,0.394233
0.935,0.992435,0.368206
0.940,0.993318,0.341414
0.945,0.992689,0.311814
0.950,0.992895,0.285277
0.955,0.992165,0.258484
0.960,0.993392,0.230161
0.965,0.992556,0.204134
0.970,0.991561,0.179893
0.975,0.990228,0.155142
0.980,0.988785,0.134983
0.985,0.986813,0.114570
0.990,0.985000,0.100536
0.995,0.985294,0.085481
1.000,0.985866,0.071192
