set,city,label_id,pano_id,present
hf_validated,chicago-il,28878,xQPDSAzwdk7OBHJpc5oUdw,1
hf_validated,seattle-wa,178655,MTN1dfONRo_jv7TKQn1AOg,1
hf_validated,seattle-wa,234282,ao3BFTP6H8-4LzbHtbM7mQ,1
hf_validated,seattle-wa,191021,pVgjivpLlM4EfS0GgToHHw,1
hf_validated,oradell-nj,3133,xqXR6kvdlOyHu9k5bcF-SQ,1
hf_validated,columbus-oh,1569,0B2gLFTklLnDxK6XlCZZCw,1
hf_validated,columbus-oh,20665,f9h1AuCpaLBjs0jNGC905A,1
hf_validated,oradell-nj,7413,R88NrKLZ93cgZO2H6ed6Pw,1
hf_validated,chicago-il,15341,j_NEe5cIT4fH8qiKQ65Yig,1
hf_validated,seattle-wa,179929,2byW1ooIaN40VeEvsHIUlQ,1
hf_validated,pittsburgh-pa,12985,DPqda2IH_68Y_VPVD1vBdw,1
hf_validated,oradell-nj,6613,dsGLMiclGVu2lKSuUmRjUA,1
hf_validated,chicago-il,10090,r1vxp40tAgah_g5hC-j1EQ,1
hf_validated,cdmx,6185,wcOaWHcHyAt72iSbuRNxGg,1
hf_validated,oradell-nj,8235,XZ2kV-_9Zxim9iCsSbR_sg,1
hf_validated,chicago-il,12175,swYVtw8erHE8OMKCAl0pIw,1
hf_validated,chicago-il,18173,MCfMEQj91-SPk93LF3czqg,1
hf_validated,columbus-oh,14120,BrmaM7ulPe7qX2pho9pSQw,1
hf_validated,seattle-wa,98992,F4PvXxVboP9JWBvffWm1ww,1
hf_validated,oradell-nj,3514,42H4piNL-nTIfHA-WjtpcA,1
hf_validated,cdmx,4038,_yEqONYxlqWgfynyFv9qDQ,1
hf_validated,chicago-il,4456,vuIgQi9irtLN7wgtceb07g,1
hf_validated,chicago-il,28897,0GUznFGcut3t5bhjsC8SkA,1
hf_validated,pittsburgh-pa,8585,cNvpPGuS_XYBDqm58qyTzA,1
hf_validated,cdmx,2446,f5g9XsosdM2ohnfuxX5JQQ,1
hf_validated,chicago-il,46796,Gg2RgT8QB2l5c6-cFb41Dg,1
hf_validated,seattle-wa,152821,c1socKxYbkHtcTWRfkLLIg,1
hf_validated,columbus-oh,14847,-d0CbG05H-OzF8XoE4oHxQ,1
hf_validated,spgg,8296,HzRv0zRK_ao1iw4wasPg6Q,1
hf_validated,seattle-wa,147235,ryO7Ux1kSuzGcSphrnNeYg,1
hf_validated,chicago-il,13625,TT85jtP7qSxIYVTvB77Xow,1
hf_validated,columbus-oh,715,brBrQvIDmxSI2b_UuNz8iw,1
hf_validated,newberg-or,2266,d5Cqacefa0pQapPT5zTEeA,1
hf_validated,seattle-wa,252800,bRNLjx8IxKxnsGdVbDjiWw,1
hf_validated,chicago-il,10176,9QtJWUWRvj4-FXM7-EssmA,1
hf_validated,newberg-or,14820,J1IhB4qxDLDFQTG0bPXNuA,1
hf_validated,newberg-or,4003,D2a38Otq14Zf3lJiDSXX7w,1
hf_validated,oradell-nj,13580,cbg-u3N8l1cqROvEEc0lbg,1
hf_validated,oradell-nj,6230,zRg8WWh34Gol7pcRR6MDMg,1
hf_validated,seattle-wa,204360,gDJqrtS1SKSjj7i9JLJEMg,1
hf_validated,columbus-oh,22922,Omsg3OklVYs6yg6BsPrSww,1
hf_validated,chicago-il,10089,r1vxp40tAgah_g5hC-j1EQ,1
hf_validated,newberg-or,4764,0xoQP2NIBcffyNw0WDgAAA,1
hf_validated,seattle-wa,2790,KNAbXuDajY98pr5hQt4zJw,1
hf_validated,seattle-wa,158020,fHIroYZQkTATwFGFBAuAEA,1
hf_validated,seattle-wa,96987,EKtrcsSmS5hti5UR2xNTSw,1
hf_validated,oradell-nj,9241,J5eDWl45Kp7xEqsI174vug,1
hf_validated,columbus-oh,27373,q9BT2K-1a8mHTOM17SbIBQ,1
hf_validated,oradell-nj,7623,YfkwEpnJm4bSFg2z1cEPJw,1
hf_validated,pittsburgh-pa,9125,9Rv0VBzlHemD3irATb89Vg,1
hf_validated,seattle-wa,42448,dro1gx3y8F4piWKTXsajQg,1
hf_validated,seattle-wa,51361,4OwgciHozXxKp1z-EF2xyQ,1
hf_validated,chicago-il,9555,HMnQiIZ1i9dExM3uotMS2Q,1
hf_validated,seattle-wa,232974,Ys8Vye8qdcOKT_-LIIC_9g,1
hf_validated,chicago-il,28881,hJrSG1Ywl3qWYUPsjUCdGQ,1
hf_validated,spgg,13980,SIVYXjxWchy7hTeo39VQJQ,1
hf_validated,chicago-il,9574,CyrZ18tuXmiPlzj-qj5MOw,1
hf_validated,oradell-nj,2788,0iBvUG7wiKshUYd7YD0t5w,1
hf_validated,chicago-il,10547,bnv8vckNmiHOJC6mxBA9nA,1
hf_validated,chicago-il,3304,TznN2nhT-0ZcP8XP18QcvA,1
hf_validated,cdmx,5580,5Ny1hK8luph2JNwqXyv03w,1
hf_validated,seattle-wa,193885,UXo-8WMGQOhdndDREngNRA,1
hf_validated,pittsburgh-pa,15760,yQhczdQ3bC3KBBRBWMw6oA,1
hf_validated,chicago-il,3149,ymqTQx1CO4U-1jBnnY5fnw,1
hf_validated,seattle-wa,237943,8EFgHWzP3QmtTDelEr-xwQ,1
hf_validated,columbus-oh,33046,j9sLkYgfiayFrH9LTxm8Ew,1
