confidence_threshold,precision,recall
0.000,0.008710,0.929829
0.005,0.566848,0.929319
0.010,0.700751,0.928553
0.015,0.757765,0.927533
0.020,0.789130,0.926257
0.025,0.810823,0.925236
0.030,0.826226,0.924471
0.035,0.836763,0.923450
0.040,0.846172,0.922174
0.045,0.853428,0.921153
0.050,0.859524,0.921153
0.055,0.866234,0.920388
0.060,0.869660,0.919367
0.065,0.872970,0.918857
0.070,0.877193,0.918602
0.075,0.880597,0.918347
0.080,0.883378,0.918091
0.085,0.885468,0.917326
0.090,0.888669,0.916560
0.095,0.891153,0.915029
0.100,0.893347,0.914774
0.105,0.895079,0.914264
0.110,0.897642,0.912988
0.115,0.899648,0.912733
0.120,0.900983,0.912478
0.125,0.902802,0.912478
0.130,0.904352,0.911967
0.135,0.905680,0.911457
0.140,0.907243,0.910947
0.145,0.908605,0.910692
0.150,0.909740,0.910436
0.155,0.910856,0.909926
0.160,0.912231,0.909671
0.165,0.912676,0.909416
0.170,0.914528,0.909161
0.175,0.915895,0.908650
0.180,0.917053,0.908395
0.185,0.917483,0.907885
0.190,0.917462,0.907629
0.195,0.918884,0.907629
0.200,0.919534,0.906864
0.205,0.920466,0.906609
0.210,0.921162,0.906354
0.215,0.922098,0.906098
0.220,0.923257,0.905588
0.225,0.923497,0.905588
0.230,0.924420,0.905078
0.235,0.925104,0.904567
0.240,0.925790,0.904057
0.245,0.927002,0.904057
0.250,0.927711,0.903802
0.255,0.928684,0.903802
0.260,0.929396,0.903547
0.265,0.929359,0.903036
0.270,0.930074,0.902781
0.275,0.930526,0.902271
0.280,0.931698,0.901505
0.285,0.932647,0.900995
0.290,0.933051,0.899719
0.295,0.933722,0.898699
0.300,0.934218,0.898699
0.305,0.935193,0.898443
0.310,0.935372,0.897423
0.315,0.935355,0.897168
0.320,0.935802,0.896402
0.325,0.936051,0.896402
0.330,0.936233,0.895381
0.335,0.936466,0.895126
0.340,0.936716,0.895126
0.345,0.936966,0.895126
0.350,0.937183,0.894616
0.355,0.938688,0.894616
0.360,0.939410,0.894106
0.365,0.939329,0.892830
0.370,0.939280,0.892064
0.375,0.939231,0.891299
0.380,0.939989,0.891299
0.385,0.940701,0.890533
0.390,0.941446,0.890278
0.395,0.941430,0.890023
0.400,0.941876,0.889002
0.405,0.942115,0.888747
0.410,0.942370,0.888747
0.415,0.942610,0.888492
0.420,0.943105,0.888237
0.425,0.943345,0.887982
0.430,0.943842,0.887726
0.435,0.943811,0.887216
0.440,0.944022,0.886451
0.445,0.944263,0.886195
0.450,0.945762,0.885430
0.455,0.945732,0.884920
0.460,0.945946,0.884154
0.465,0.946678,0.883389
0.470,0.947181,0.883133
0.475,0.947614,0.881602
0.480,0.948366,0.881092
0.485,0.948873,0.880837
0.490,0.949628,0.880327
0.495,0.949559,0.879051
0.500,0.950055,0.878540
0.505,0.950566,0.878285
0.510,0.950566,0.878285
0.515,0.950829,0.878285
0.520,0.951091,0.878285
0.525,0.951091,0.878285
0.530,0.951327,0.877775
0.535,0.952091,0.877265
0.540,0.953147,0.877265
0.545,0.953385,0.876754
0.550,0.953624,0.876244
0.555,0.953863,0.875734
0.560,0.954103,0.875223
0.565,0.954596,0.874458
0.570,0.954545,0.873437
0.575,0.955040,0.872672
0.580,0.955792,0.871651
0.585,0.955755,0.870885
0.590,0.956254,0.870120
0.595,0.956742,0.869099
0.600,0.956974,0.868334
0.605,0.957746,0.867568
0.610,0.958815,0.867313
0.615,0.959345,0.867058
0.620,0.959830,0.865782
0.625,0.960057,0.864761
0.630,0.960567,0.863996
0.635,0.960818,0.863486
0.640,0.961593,0.862465
0.645,0.962097,0.861444
0.650,0.962350,0.860934
