confidence_threshold,precision,recall
0.000,0.007513,0.937484
0.005,0.524714,0.937229
0.010,0.664253,0.936463
0.015,0.727021,0.936463
0.020,0.760265,0.935443
0.025,0.785041,0.934677
0.030,0.801401,0.933912
0.035,0.813612,0.933401
0.040,0.822748,0.932126
0.045,0.830717,0.931615
0.050,0.836159,0.931105
0.055,0.843237,0.930595
0.060,0.847012,0.929574
0.065,0.850304,0.929064
0.070,0.853790,0.928298
0.075,0.858357,0.927788
0.080,0.861987,0.927533
0.085,0.864350,0.926767
0.090,0.867943,0.925746
0.095,0.869273,0.924726
0.100,0.871363,0.924726
0.105,0.872832,0.924726
0.110,0.876331,0.923960
0.115,0.878214,0.923705
0.120,0.880750,0.923450
0.125,0.882870,0.923195
0.130,0.884813,0.923195
0.135,0.886982,0.923195
0.140,0.888479,0.922940
0.145,0.889983,0.922684
0.150,0.891299,0.922684
0.155,0.892619,0.922684
0.160,0.894828,0.922684
0.165,0.895245,0.922429
0.170,0.895637,0.921919
0.175,0.897589,0.921409
0.180,0.898406,0.920643
0.185,0.898854,0.920643
0.190,0.899302,0.920643
0.195,0.900424,0.920643
0.200,0.901275,0.920133
0.205,0.902378,0.919878
0.210,0.904141,0.919367
0.215,0.905253,0.919112
0.220,0.906596,0.918857
0.225,0.906824,0.918857
0.230,0.907968,0.918857
0.235,0.908174,0.918602
0.240,0.909045,0.918091
0.245,0.910195,0.918091
0.250,0.912713,0.917836
0.255,0.913386,0.917581
0.260,0.913806,0.917071
0.265,0.913740,0.916305
0.270,0.914417,0.916050
0.275,0.915073,0.915540
0.280,0.915986,0.915285
0.285,0.916624,0.914519
0.290,0.917542,0.914264
0.295,0.917970,0.913754
0.300,0.918655,0.913498
0.305,0.919322,0.912988
0.310,0.920247,0.912733
0.315,0.920206,0.912223
0.320,0.920402,0.911712
0.325,0.921114,0.911712
0.330,0.921331,0.911457
0.335,0.921786,0.911202
0.340,0.922024,0.911202
0.345,0.922481,0.910947
0.350,0.922699,0.910692
0.355,0.923654,0.910692
0.360,0.924372,0.910692
0.365,0.924773,0.909671
0.370,0.924734,0.909161
0.375,0.924695,0.908650
0.380,0.925416,0.908650
0.385,0.926119,0.908395
0.390,0.927064,0.908140
0.395,0.927510,0.907629
0.400,0.928161,0.906609
0.405,0.928385,0.906354
0.410,0.928609,0.906098
0.415,0.928852,0.906098
0.420,0.928852,0.906098
0.425,0.928852,0.906098
0.430,0.929581,0.906098
0.435,0.930050,0.905843
0.440,0.931252,0.905588
0.445,0.931723,0.905333
0.450,0.932667,0.904823
0.455,0.933404,0.904823
0.460,0.933614,0.904312
