epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10934.5,1.37805,1.74693,1.49828,0.85995,0.53251,0.69241,0.37351,1.21387,2.04566,1.52771,0.00999978,0.00333326,0.00999978,0.00333326,0.00999978,0.00333326,0.00999978,0.00333326
2,21441.8,1.15709,1.59768,1.34042,0.17232,0.57976,0.30902,0.11522,2.03455,3.62063,2.24307,0.0196698,0.0065566,0.0196698,0.0065566,0.0196698,0.0065566,0.0196698,0.0065566
3,31822.7,1.12401,1.59719,1.33826,0.34706,0.18057,0.10302,0.01709,2.7363,4.8622,2.91702,0.0290098,0.00966993,0.0290098,0.00966993,0.0290098,0.00966993,0.0290098,0.00966993
4,42186.3,1.10202,1.59074,1.33405,0.15093,0.63941,0.33532,0.13004,1.96117,3.52562,2.14886,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,52601.3,1.07334,1.56782,1.3286,0.83873,0.59045,0.72562,0.43689,0.97258,1.67273,1.38359,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,62997.5,1.06475,1.55998,1.32776,0.83909,0.64134,0.76438,0.46417,0.93805,1.52208,1.36632,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,73395.8,1.05971,1.55492,1.32902,0.83043,0.65272,0.77039,0.46762,0.93905,1.48469,1.37403,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,83810.1,1.05271,1.55276,1.32281,0.82879,0.65762,0.77357,0.46868,0.94126,1.47181,1.3763,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,10438.2,1.04871,1.54779,1.31612,0.82782,0.66233,0.77598,0.46869,0.94961,1.45688,1.38066,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,20859,1.05114,1.54492,1.32358,0.82714,0.66349,0.7766,0.46892,0.94996,1.45423,1.38412,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,31286.4,1.0465,1.54187,1.32177,0.82506,0.65918,0.77506,0.46902,0.94915,1.45017,1.38966,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,41703.1,1.04218,1.54132,1.31879,0.82862,0.65776,0.77538,0.4698,0.94313,1.45757,1.38823,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,52107.7,1.04052,1.53895,1.32105,0.82645,0.65782,0.77494,0.46966,0.93994,1.45884,1.38286,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,62526.4,1.03782,1.53755,1.32274,0.82559,0.65657,0.77495,0.46948,0.9387,1.45835,1.38324,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,72953,1.03661,1.53909,1.32058,0.82572,0.65583,0.77496,0.46957,0.94201,1.45315,1.38917,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,83374.4,1.03274,1.53554,1.32208,0.82942,0.65738,0.77622,0.47025,0.94745,1.44599,1.39645,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,10386.7,1.0288,1.52679,1.31085,0.82766,0.6592,0.77631,0.47092,0.94574,1.44167,1.39263,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,20750.3,1.02724,1.52778,1.30713,0.82632,0.65933,0.77608,0.47025,0.94483,1.44384,1.38868,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
