epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7352.39,1.58582,1.33396,1.31376,0.87308,0.67332,0.77945,0.42263,1.39892,1.13264,1.26075,0.00999973,0.00333324,0.00999973,0.00333324,0.00999973,0.00333324,0.00999973,0.00333324
2,14020.1,1.50486,1.23682,1.26008,0.92014,0.61629,0.7638,0.41958,1.37778,1.26102,1.26183,0.0196697,0.00655658,0.0196697,0.00655658,0.0196697,0.00655658,0.0196697,0.00655658
3,21144.2,1.47727,1.23784,1.2464,0.82445,0.03805,0.0316,0.0164,2.49774,6.40598,2.03689,0.0290097,0.00966991,0.0290097,0.00966991,0.0290097,0.00966991,0.0290097,0.00966991
4,7167.47,1.49289,1.26434,1.25522,0,0,0,0,3.29462,8.22706,2.57656,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,8237.51,1.46674,1.24697,1.2402,0,0,0,0,3.22697,8.22256,2.53027,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,11551.6,1.43966,1.23225,1.22371,1,6e-05,0.005,0.00368,2.98339,7.89658,2.3733,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,8063.86,1.40326,1.21359,1.20978,0.944,0.02833,0.02429,0.01449,2.61371,6.89773,2.06625,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,16122.1,1.26461,1.17284,1.15046,0.97138,0.01066,0.01471,0.00775,2.85682,7.28249,2.19974,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,26165.8,1.21197,1.14843,1.1307,0.9728,0.00728,0.005,0.00379,2.98835,7.42767,2.26476,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,9855.4,1.26067,1.16203,1.15104,0.75276,0.20365,0.1834,0.08434,2.42545,5.31002,1.88035,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,11950.3,1.24807,1.15269,1.14593,0.72849,0.38691,0.49775,0.24754,1.80335,2.87162,1.50654,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,11368.9,1.2356,1.14553,1.14014,0.81518,0.53749,0.68035,0.3639,1.51164,1.59378,1.3212,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,20585.6,1.2014,1.14393,1.12468,0.85464,0.58419,0.72652,0.39845,1.42009,1.36861,1.27066,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,6916.65,1.20583,1.12599,1.12783,0.86857,0.63424,0.76667,0.43733,1.29691,1.21978,1.21029,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,5890.38,1.19707,1.11639,1.12428,0.84738,0.66395,0.78295,0.46351,1.19975,1.15409,1.16519,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,6640.24,1.18793,1.10792,1.12083,0.83874,0.67782,0.793,0.48128,1.1329,1.10979,1.13458,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,6610.24,1.18058,1.09951,1.11759,0.83405,0.6889,0.79897,0.49087,1.09933,1.08111,1.11916,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,13245,1.17399,1.12631,1.11245,0.831,0.69257,0.80088,0.49438,1.08492,1.07299,1.11204,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,19836.1,1.15438,1.12041,1.10557,0.83251,0.69275,0.80134,0.49544,1.08133,1.07333,1.10971,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,26496,1.13956,1.11327,1.09783,0.83197,0.69253,0.80155,0.4968,1.07515,1.07311,1.10641,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,6259.58,1.138,1.07625,1.09948,0.83232,0.70114,0.807,0.50437,1.05041,1.05312,1.09643,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,12517.4,1.13991,1.10446,1.09767,0.83239,0.70625,0.80985,0.5084,1.03453,1.0447,1.08985,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,18769.5,1.12922,1.10371,1.0945,0.83395,0.70719,0.81141,0.51074,1.02385,1.04017,1.08481,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,6193,1.11276,1.05512,1.08883,0.83247,0.71299,0.81384,0.514,1.01508,1.02836,1.08262,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,12930.5,1.1231,1.08952,1.09106,0.83186,0.71435,0.81467,0.51586,1.00714,1.0241,1.07965,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,20804.6,1.12006,1.09063,1.09098,0.82937,0.71663,0.81514,0.51751,0.99953,1.02135,1.07668,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,6721.44,1.09402,1.03019,1.08125,0.82732,0.71965,0.81608,0.51829,0.99906,1.01276,1.07767,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,13467.5,1.11013,1.07417,1.08565,0.82637,0.72031,0.81633,0.51892,0.99648,1.01015,1.07668,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,20259.2,1.10885,1.08313,1.08654,0.82665,0.72061,0.81673,0.51971,0.99344,1.00917,1.07516,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,6710.16,1.07598,1.00704,1.07441,0.82597,0.72358,0.81781,0.51996,0.99662,1.00055,1.07782,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,13385.3,1.09754,1.05859,1.08083,0.82687,0.72292,0.81796,0.5206,0.99378,0.99973,1.07681,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,20043.9,1.09891,1.07588,1.08245,0.82785,0.72376,0.81845,0.52087,0.99123,1.00034,1.07539,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,6258.75,1.05334,0.9828,1.06508,0.82642,0.72707,0.81933,0.52112,0.99445,0.99239,1.07823,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,12505,1.08603,1.04108,1.07795,0.8264,0.72769,0.8196,0.52169,0.99298,0.99095,1.07809,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,6272.72,1.03877,0.96072,1.05946,0.82518,0.7307,0.82027,0.52161,0.99606,0.98346,1.08137,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,12516.5,1.07772,1.03493,1.07386,0.82522,0.73074,0.82037,0.52217,0.99375,0.98299,1.08058,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,18726.2,1.08244,1.05811,1.07649,0.82565,0.73081,0.82179,0.52317,0.99006,0.98502,1.07804,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,24926.9,1.08153,1.06271,1.0754,0.82735,0.72983,0.82232,0.52413,0.98613,0.98665,1.07548,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,6610.8,1.01789,0.93477,1.05112,0.82666,0.7327,0.82297,0.52399,0.99072,0.97707,1.07986,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,13184.2,1.05891,1.0115,1.06685,0.82583,0.73317,0.82321,0.52414,0.99067,0.97609,1.07975,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,19766.2,1.06631,1.04006,1.06991,0.82656,0.7327,0.82345,0.52474,0.98736,0.97735,1.0777,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,5327.13,0.99367,0.9029,1.04036,0.82608,0.73463,0.82392,0.52434,0.99395,0.96794,1.08297,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,6740.53,0.9839,0.88814,1.03595,0.82482,0.73765,0.82332,0.52384,1.00002,0.96011,1.08823,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
