epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12202.8,1.58839,1.40362,1.32786,0.89616,0.65338,0.77746,0.42107,1.40861,1.21531,1.26997,0.00999987,0.00333329,0.00999987,0.00333329,0.00999987,0.00333329,0.00999987,0.00333329
2,23829.7,1.51142,1.29776,1.27756,0.91411,0.31562,0.5522,0.2944,1.5679,2.31553,1.49041,0.0196699,0.00655662,0.0196699,0.00655662,0.0196699,0.00655662,0.0196699,0.00655662
3,12495.7,1.54439,1.35191,1.29484,0,0,0,0,3.35169,7.97593,2.71784,0.0290099,0.00966996,0.0290099,0.00966996,0.0290099,0.00966996,0.0290099,0.00966996
4,10320.1,1.54659,1.3661,1.29763,0,0,0,0,4.12017,7.12724,2.49091,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,12549.5,1.52107,1.3395,1.28476,0,0,0,0,3.99518,7.35629,2.42091,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,12306.2,1.50048,1.31663,1.2736,0,0,0,0,3.88304,7.61658,2.40362,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,13165.8,1.47356,1.29413,1.26027,0,0,0,0,3.51034,7.88276,2.40115,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,13693.8,1.41715,1.27195,1.23551,1,0.00027,0.005,0.00356,3.08591,7.688,2.3682,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,13205.7,1.3701,1.25593,1.21474,0.87648,0.06289,0.06144,0.02428,2.81868,6.43076,2.17617,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,11606.2,1.33309,1.24264,1.19789,0.41623,0.3765,0.29671,0.12958,2.32872,4.21834,1.86243,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,23237.6,1.23319,1.21565,1.15123,0.44299,0.38237,0.31117,0.12856,2.4218,4.07511,1.90165,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,10868.3,1.26643,1.2099,1.16663,0.80768,0.40906,0.54905,0.26375,1.9101,2.30369,1.60734,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,11903.3,1.24832,1.19966,1.15834,0.86038,0.546,0.68751,0.36172,1.56343,1.54019,1.3764,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,9815.53,1.23506,1.18668,1.15214,0.90136,0.60747,0.74459,0.40506,1.41952,1.31645,1.28089,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,19673.1,1.19222,1.19835,1.13283,0.89891,0.6191,0.75214,0.41305,1.38627,1.29484,1.26218,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,11385.7,1.20056,1.16156,1.13708,0.85941,0.65384,0.77225,0.44667,1.25622,1.2096,1.19857,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
