epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26557.2,1.37817,1.76169,1.5231,0.89878,0.48187,0.67842,0.35914,1.24246,2.16016,1.57013,0.00999978,0.00333326,0.00999978,0.00333326,0.00999978,0.00333326,0.00999978,0.00333326
2,52376.1,1.15013,1.60385,1.37582,0.21487,0.55847,0.3221,0.1196,1.9257,3.78952,2.22078,0.0196698,0.0065566,0.0196698,0.0065566,0.0196698,0.0065566,0.0196698,0.0065566
3,77814.5,1.1174,1.60024,1.36866,0.31389,0.15178,0.07829,0.01119,2.75846,5.25159,3.02816,0.0290098,0.00966993,0.0290098,0.00966993,0.0290098,0.00966993,0.0290098,0.00966993
4,103876,1.09332,1.5983,1.3644,0.1539,0.61314,0.2695,0.09595,1.80545,3.69613,2.25362,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,129323,1.06625,1.57467,1.35144,0.81928,0.57507,0.71084,0.42925,0.95885,1.69739,1.40804,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,154810,1.05748,1.56554,1.35145,0.8321,0.63409,0.75716,0.46072,0.93531,1.52963,1.39141,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,180222,1.05148,1.56192,1.35105,0.82733,0.65071,0.76594,0.46551,0.93701,1.49113,1.40266,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,205710,1.04769,1.55465,1.34756,0.82482,0.6572,0.77001,0.46686,0.94171,1.47401,1.40934,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,231081,1.0444,1.55289,1.3442,0.82732,0.65806,0.77344,0.468,0.94649,1.46289,1.41018,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,256407,1.04117,1.55257,1.34469,0.82468,0.65635,0.77172,0.46773,0.94182,1.46471,1.41216,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,282089,1.03982,1.55018,1.33733,0.82527,0.65727,0.77206,0.46796,0.94273,1.46186,1.40868,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,307413,1.03795,1.54856,1.326,0.82478,0.65892,0.77248,0.46823,0.94171,1.46092,1.39537,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,332806,1.03376,1.54059,1.32551,0.82907,0.65838,0.77509,0.46979,0.94282,1.45603,1.39278,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,358227,1.03441,1.53769,1.33012,0.82724,0.65893,0.7754,0.46966,0.94542,1.4491,1.40046,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,383634,1.03145,1.53734,1.33623,0.82308,0.66004,0.77445,0.4691,0.94802,1.44998,1.41202,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,408982,1.03186,1.53431,1.34067,0.8248,0.65745,0.77399,0.46903,0.94672,1.45098,1.41758,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,434343,1.03097,1.53287,1.33718,0.82173,0.66003,0.77457,0.46959,0.95178,1.44198,1.41977,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,459727,1.02509,1.53031,1.33451,0.81898,0.65999,0.77466,0.46936,0.95248,1.43854,1.42403,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,485071,1.02646,1.52711,1.33353,0.8161,0.66168,0.77551,0.47011,0.95229,1.43454,1.42326,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,510431,1.01948,1.52741,1.33485,0.81894,0.66148,0.77576,0.47012,0.9492,1.43841,1.42705,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,535948,1.02108,1.52139,1.33129,0.82092,0.66091,0.77625,0.47072,0.95162,1.43213,1.42516,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
