epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8426.62,1.61195,1.77719,0.00269,0.81174,0.61329,0.73792,0.41315,1.36326,1.36852,0.00338,0.00999973,0.00333324,0.00999973,0.00333324,0.00999973,0.00333324,0.00999973,0.00333324
2,16395.9,1.46926,1.51431,0.00235,0.82394,0.57935,0.72156,0.40969,1.32392,1.45054,0.00327,0.0196697,0.00655658,0.0196697,0.00655658,0.0196697,0.00655658,0.0196697,0.00655658
3,24412.5,1.46689,1.53096,0.00235,0.85235,0.48441,0.67078,0.37666,1.35046,1.71333,0.00335,0.0290097,0.00966991,0.0290097,0.00966991,0.0290097,0.00966991,0.0290097,0.00966991
4,7273.01,1.49076,1.56422,0.00239,0.82983,0.40175,0.59898,0.33015,1.39821,1.93435,0.00349,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,14507,1.41274,1.48337,0.00225,0.61098,0.2659,0.3472,0.17936,1.64631,3.1187,0.00428,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,21562.6,1.3595,1.42764,0.00216,0.21421,0.25785,0.12504,0.06099,1.92558,4.96187,0.00547,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,8725.72,1.40228,1.46717,0.00224,0.6522,0.31318,0.40801,0.22175,1.57462,2.687,0.00404,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,17262.2,1.31481,1.41433,0.00207,0.6173,0.41195,0.49115,0.27385,1.47443,2.14678,0.00371,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,12033.1,1.3292,1.42895,0.0021,0.63274,0.48292,0.56741,0.33055,1.32759,1.73712,0.00327,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,10365,1.31301,1.41394,0.00206,0.6415,0.52115,0.60416,0.36099,1.25303,1.59772,0.00306,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,19393.6,1.2671,1.39006,0.00196,0.64587,0.53745,0.62133,0.37519,1.2237,1.54846,0.00297,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,27905.8,1.2382,1.37647,0.00191,0.6407,0.55002,0.62359,0.3795,1.19926,1.53745,0.00288,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,10029.7,1.25905,1.37167,0.00196,0.65355,0.5757,0.64884,0.3978,1.17371,1.48241,0.00279,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,19929.1,1.23581,1.3696,0.0019,0.65777,0.59101,0.65936,0.40711,1.15456,1.44529,0.00272,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,11932.3,1.24024,1.35053,0.00192,0.68698,0.60496,0.68837,0.42932,1.1322,1.38377,0.00264,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,11880.3,1.2327,1.33976,0.00191,0.70315,0.61401,0.70689,0.44356,1.11383,1.34063,0.00258,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,21525.7,1.23058,1.34657,0.00189,0.6983,0.61773,0.7084,0.44946,1.08942,1.32827,0.00249,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,8943.94,1.22154,1.31501,0.00189,0.70476,0.62116,0.71718,0.46012,1.06743,1.3017,0.00241,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,6255.45,1.21482,1.30676,0.00188,0.70272,0.62795,0.72201,0.46703,1.0514,1.28068,0.00235,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,7871.36,1.21282,1.29136,0.00187,0.71055,0.63155,0.73023,0.47453,1.04134,1.26168,0.00231,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,7642.1,1.20802,1.28178,0.00186,0.71436,0.63768,0.73612,0.48022,1.03434,1.24677,0.00229,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,7613.93,1.20649,1.26975,0.00186,0.72029,0.64047,0.74079,0.48369,1.02965,1.23456,0.00227,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,15225.7,1.21577,1.32035,0.00187,0.72272,0.63993,0.74157,0.48541,1.02399,1.2301,0.00225,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,22864.7,1.19941,1.32803,0.00185,0.71959,0.64031,0.73925,0.48465,1.01877,1.23372,0.00223,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,7000.57,1.18589,1.24998,0.00182,0.72343,0.64431,0.7445,0.48868,1.01449,1.22192,0.00222,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,13979.7,1.20013,1.30374,0.00185,0.72261,0.64441,0.74536,0.49081,1.00832,1.2176,0.0022,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,20983,1.19119,1.31191,0.00183,0.7278,0.6434,0.74764,0.49224,1.00726,1.21303,0.00219,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,7027.08,1.16477,1.23051,0.00179,0.73572,0.6437,0.75221,0.49553,1.00501,1.20309,0.00219,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,15118.3,1.18074,1.29298,0.00181,0.733,0.64411,0.7512,0.49577,1.00028,1.20313,0.00217,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,22946.4,1.1787,1.29975,0.00181,0.73194,0.64506,0.75274,0.497,0.9972,1.20176,0.00217,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,7569.9,1.14615,1.20828,0.00175,0.73842,0.6449,0.75486,0.49865,0.997,1.19477,0.00216,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,15121.7,1.17235,1.27203,0.0018,0.73784,0.64484,0.75494,0.49875,0.99424,1.19312,0.00216,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,5945.54,1.13721,1.18181,0.00174,0.74727,0.64522,0.75843,0.50092,0.99494,1.18681,0.00216,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,7589.98,1.12926,1.17075,0.00172,0.75326,0.64735,0.76217,0.50292,0.9975,1.18043,0.00216,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,15244.6,1.1658,1.25082,0.00178,0.75355,0.64592,0.76237,0.50338,0.99537,1.17915,0.00216,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,7082.67,1.11559,1.15165,0.0017,0.75862,0.64827,0.76535,0.50483,0.997,1.17491,0.00216,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,14157.8,1.15435,1.24489,0.00177,0.7606,0.64741,0.7662,0.50639,0.99338,1.17401,0.00215,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,7684.71,1.0996,1.13183,0.00167,0.76215,0.65041,0.76801,0.50671,0.99474,1.17336,0.00216,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,15356.1,1.14353,1.23728,0.00175,0.76032,0.65008,0.76724,0.50695,0.99131,1.17514,0.00215,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,23021.1,1.14175,1.26455,0.00175,0.75517,0.65252,0.76788,0.5071,0.99055,1.17386,0.00215,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,7081.7,1.08527,1.09732,0.00164,0.76464,0.65217,0.76976,0.50777,0.99347,1.17096,0.00216,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,7597.62,1.07574,1.08517,0.00162,0.76925,0.6549,0.77223,0.50838,0.99496,1.1697,0.00216,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,6952.23,1.06848,1.06949,0.00161,0.77198,0.65792,0.77416,0.50886,0.99738,1.16859,0.00217,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,7629.78,1.06179,1.05125,0.0016,0.77767,0.65935,0.77641,0.50966,1.00096,1.16709,0.00217,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,7621.87,1.05378,1.03461,0.00158,0.78169,0.66065,0.77768,0.50959,1.00474,1.16649,0.00218,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,15198.9,1.10974,1.19599,0.00169,0.7788,0.65636,0.77568,0.50973,0.99882,1.16499,0.00217,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,22741.4,1.11131,1.22942,0.0017,0.77442,0.65473,0.77434,0.51066,0.99078,1.16276,0.00215,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,7594.59,1.03248,1.00315,0.00154,0.77971,0.65794,0.77701,0.51073,0.9976,1.16249,0.00216,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,15149.9,1.08695,1.17558,0.00165,0.77621,0.65651,0.77548,0.51061,0.99475,1.16269,0.00216,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,22698.8,1.09235,1.2161,0.00167,0.77225,0.65301,0.77482,0.51136,0.98869,1.16065,0.00214,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,7753.17,1.04328,1.18676,0.0018,0.76859,0.65161,0.77383,0.51242,0.98104,1.15789,0.00212,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,15375.5,1.02986,1.18185,0.00177,0.76752,0.64912,0.77302,0.51375,0.97469,1.15545,0.0021,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,23080.8,1.01681,1.17683,0.00174,0.76313,0.65009,0.77242,0.51459,0.96782,1.154,0.00208,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,7674.53,0.9981,0.96402,0.00148,0.77224,0.65409,0.77637,0.51518,0.9748,1.15169,0.0021,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,15257.5,1.04701,1.12347,0.00158,0.77322,0.65311,0.77621,0.51517,0.97483,1.15175,0.0021,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
