epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20051.5,1.42301,2.03216,0.00647,0.66595,0.55011,0.64742,0.35579,1.20557,1.79447,0.00631,0.00999989,0.0033333,0.00999989,0.0033333,0.00999989,0.0033333,0.00999989,0.0033333
2,19265.3,1.2233,1.72429,0.00533,0.60321,0.53767,0.60144,0.35348,1.11243,1.81904,0.0057,0.0196699,0.00655663,0.0196699,0.00655663,0.0196699,0.00655663,0.0196699,0.00655663
3,27505.8,1.20769,1.74667,0.00523,0.51781,0.18848,0.27961,0.11929,2.03582,2.99481,0.01242,0.0290099,0.00966997,0.0290099,0.00966997,0.0290099,0.00966997,0.0290099,0.00966997
4,17774.6,1.17966,1.75181,0.00509,0.49699,0.20077,0.26793,0.11119,2.06382,3.06839,0.01281,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,34017.8,1.10966,1.69548,0.00476,0.52706,0.46335,0.50094,0.29674,1.1565,1.93832,0.00611,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,50230.1,1.08996,1.6755,0.00466,0.60015,0.56057,0.61669,0.38451,0.95892,1.60279,0.00484,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,66669.7,1.08136,1.66532,0.00463,0.61874,0.58298,0.6468,0.40731,0.91881,1.51721,0.00464,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,83124.7,1.07251,1.65829,0.00459,0.62296,0.59342,0.65687,0.41365,0.90642,1.49523,0.00458,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,100006,1.06377,1.65469,0.00455,0.62748,0.59266,0.66239,0.41842,0.90006,1.47982,0.00454,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,116384,1.06402,1.64783,0.00455,0.63217,0.59139,0.66408,0.41917,0.89946,1.47305,0.00455,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,132800,1.05596,1.64609,0.00451,0.63679,0.58929,0.66721,0.42138,0.89902,1.47404,0.00454,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,149181,1.06251,1.65065,0.00454,0.62856,0.58914,0.66301,0.42072,0.89622,1.46805,0.00452,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,165516,1.05215,1.64163,0.0045,0.63042,0.592,0.66642,0.42227,0.89694,1.46098,0.00454,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,181855,1.05052,1.63694,0.00449,0.63716,0.58976,0.66909,0.42364,0.89754,1.45886,0.00454,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,201578,1.05233,1.63575,0.0045,0.63858,0.58837,0.66927,0.42452,0.89729,1.45625,0.00454,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,218169,1.04625,1.63372,0.00446,0.6352,0.59356,0.67111,0.42544,0.89926,1.45276,0.00454,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,234546,1.04143,1.6345,0.00444,0.63383,0.59422,0.67056,0.42478,0.89683,1.45648,0.00453,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,250889,1.03988,1.62892,0.00443,0.63366,0.59251,0.66856,0.42426,0.89448,1.45642,0.00452,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
